variant,seed,round,server_da_steps_per_round,server_da_total_steps_so_far,accuracy,macro_f1,nll,ece,mean_confidence,error_count,recall_class_0,recall_class_1,recall_class_2,recall_class_3,checkpoint_sha256,evaluation_seconds,evidence_status,test_used_for_selection
DA80,42,7,80,560,0.9352941176470588,0.9358659031785885,0.1757684338468048,0.034699268858222464,0.9122497765895199,88,0.9764705882352941,0.8735294117647059,0.9088235294117647,0.9823529411764705,b7b99ef823966f22327762652324e3faa7453a897962da42512f968170a37a04,0.5614744999911636,canonical_postflight_pass,False
DA80,42,8,80,640,0.9397058823529412,0.9398469744091332,0.16497255568881866,0.018140289559960405,0.9407086140311817,82,0.9823529411764705,0.8705882352941177,0.9264705882352942,0.9794117647058823,3c57a20cadd46c555ffc509e64cafd78e27e0e22065e8677d1356d3dc1513fec,0.8852581999963149,canonical_postflight_pass,False
DA80,42,9,80,720,0.9838235294117647,0.9838398828969133,0.08082070166352341,0.017164216760326888,0.9666593126514379,22,0.9823529411764705,0.9911764705882353,0.9647058823529412,0.9970588235294118,6a6bb1d95a8d932f78492865915e3652c7f573eb135f67adeb81c2a891ab80d0,0.7044396999990568,canonical_postflight_pass,False
DA80,42,10,80,800,0.9727941176470588,0.9727038589076218,0.1303836368561191,0.012721534029525874,0.9736380132243914,37,0.9941176470588236,0.9352941176470588,0.9676470588235294,0.9941176470588236,8c1180210e446aba78c1604e78e9819adadecaf24df1393f7f5266bb70de935e,0.7920161000220105,canonical_postflight_pass,False
DA80,42,11,80,880,0.9838235294117647,0.98383827647891,0.08932482449894567,0.006359664701363645,0.9849059991538525,22,0.9647058823529412,0.9970588235294118,0.9823529411764705,0.9911764705882353,b70053b793923ee7ac15416c45d164dbacec196f63943fba58f5fb01eca9dcfe,0.7557152999797836,canonical_postflight_pass,False
DA80,42,12,80,960,0.9882352941176471,0.9882543267704131,0.06572262849492821,0.004903407394885951,0.9895799662260448,16,0.9823529411764705,0.9970588235294118,0.9823529411764705,0.9911764705882353,69b73956d31f504660a8d769ba7ce73bbd2cc1369dd0615e1088ea2d398b4f25,0.586317399982363,canonical_postflight_pass,False
DA80,42,13,80,1040,0.9845588235294118,0.9846241159169216,0.07504045387409629,0.010208398541983434,0.9924247370923267,21,0.9764705882352941,0.9882352941176471,0.9852941176470589,0.9882352941176471,aeb06064c7ce75d56bbd8c87956a3fd01de055c4f69515f7722b4715d9b7ec33,0.5399077000329271,canonical_postflight_pass,False
DA80,42,14,80,1120,0.9676470588235294,0.9675433164834218,0.13660470664542188,0.021201033583458713,0.9874382436713751,44,0.9794117647058823,0.9705882352941176,0.9235294117647059,0.9970588235294118,23b810830607a14f84b46ccf99ecca62441a2aac254e70adebb206c418386018,0.821973399957642,canonical_postflight_pass,False
DA80,42,15,80,1200,0.9845588235294118,0.9846017493937946,0.08497585941800082,0.011246220153920801,0.9931013125707121,21,0.9735294117647059,0.9941176470588236,0.9794117647058823,0.9911764705882353,0038b44bce6acbfd18f97337430dd67c0af853ca5f7d734b988c68e45265b7b7,0.7345425999956205,canonical_postflight_pass,False
DA80,42,16,80,1280,0.986764705882353,0.9867899534680996,0.08964272634593323,0.010947824138052292,0.9959374507560449,18,0.9823529411764705,0.9970588235294118,0.9823529411764705,0.9852941176470589,d95862cbf75c3cb58e63a373806b751c17d865dd680d0e1d93fa3574078ac0c1,0.43439199996646494,canonical_postflight_pass,False
