experiment_id,target,variant,input_dimension,seed,class_id,gas,true_ppm,N,RMSE,MAE,R2,NRMSE
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,25.0,8,3.3834931675024853,3.0255332761524953,nan,0.030075494822244316
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,37.5,8,3.7478961809726212,3.097493238447746,nan,0.03331463271975663
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,50.0,8,4.306496430416168,3.776952011877915,nan,0.03827996827036593
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,62.5,8,6.630748159049419,6.237912035205257,nan,0.05893998363599483
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,75.0,8,2.086836096971383,1.722130102058271,nan,0.01854965419530118
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,87.5,8,22.173754577244456,9.20301565811941,nan,0.1971000406866174
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,100.0,8,4.473902760749657,3.5459991571203737,nan,0.039768024539996956
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,112.5,8,5.294708580822755,3.6905782574981476,nan,0.04706407627398005
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,125.0,8,35.75978265609227,16.470285151897052,nan,0.31786473472082016
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,25.0,8,1.8745459207520012,0.9309246871922809,nan,0.008331315203342227
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,50.0,8,4.389150229639106,3.43070733947554,nan,0.01950733435395158
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,75.0,8,4.07229057072327,3.3465299690369363,nan,0.018099069203214534
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,100.0,8,4.637709082924773,4.37504335003916,nan,0.020612040368554546
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,125.0,8,12.853315438689481,7.92854960743648,nan,0.05712584639417547
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,150.0,8,8.961172111795026,6.066200755553805,nan,0.039827431607977894
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,175.0,8,18.802200135463554,11.41042575051793,nan,0.08356533393539359
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,200.0,8,18.209202639107467,9.792621676753058,nan,0.08092978950714429
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,225.0,8,13.485359151313588,10.350150587072793,nan,0.05993492956139372
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,3,Methane,250.0,8,4.349939043704052,3.188458506810388,nan,0.01933306241646245
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,12.5,34,42.737738134825335,13.21620604529178,nan,0.37989100564289185
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,25.0,34,6.043232617317953,3.955324979079818,nan,0.05371762326504846
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,37.5,34,20.54408623522973,10.423378307554453,nan,0.18261409986870872
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,50.0,34,9.678484785283912,4.899759454842869,nan,0.08603097586919031
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,62.5,34,8.216576160923392,5.216047029135037,nan,0.07303623254154126
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,75.0,34,7.665777250086167,5.905696148663449,nan,0.06814024222298816
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,87.5,34,7.976769411245367,5.225475586456794,nan,0.07090461698884772
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,100.0,34,16.323414251645854,7.584649469894022,nan,0.14509701557018537
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,112.5,34,6.357807827251027,4.627019518160024,nan,0.056513847353342465
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,0,Ethanol,125.0,34,5.012181249436337,2.633097068004957,nan,0.04455272221721189
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,25.0,34,6.392557525973983,2.8533716516250096,nan,0.028411366782106588
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,50.0,34,14.19653887266863,11.753326688465084,nan,0.0630957283229717
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,75.0,34,18.70737522755632,15.102387092204836,nan,0.0831438899002503
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,100.0,34,15.179637338148973,11.417686473673761,nan,0.06746505483621765
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,125.0,34,12.726418109839438,9.386995177729423,nan,0.05656185826595305
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,1,CO,150.0,34,13.311965191542473,10.903901554017564,nan,0.059164289740188766
