step,source_ce,coral_loss,global_mmd2,adversarial_loss,weighted_coral,weighted_global_mmd2,weighted_adversarial,total_loss,target_batch_size,target_label_object_present,target_ce_status,class_conditional_coral_status,class_mmd_status,stage_mmd_status,target_proto_anchor_status,pseudo_label_status
40,0.0034659244120121002,6.33760328128119e-06,0.07308804988861084,0.2714138627052307,3.168801640640595e-06,0.03654402494430542,0.13570693135261536,0.17572005093097687,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
41,0.0034813391976058483,1.050771516020177e-05,0.11726081371307373,0.3669489026069641,5.253857580100885e-06,0.058630406856536865,0.18347445130348206,0.2455914467573166,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
42,0.002987552434206009,1.107266143662855e-05,0.11695343255996704,0.38094353675842285,5.536330718314275e-06,0.05847671627998352,0.19047176837921143,0.2519415616989136,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
43,0.1625489443540573,7.019137228780892e-06,0.08654463291168213,0.2209131121635437,3.509568614390446e-06,0.043272316455841064,0.11045655608177185,0.3162813186645508,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
44,0.002654007403180003,2.3324869289353956e-06,0.026398777961730957,0.06754043698310852,1.1662434644676978e-06,0.013199388980865479,0.03377021849155426,0.04962478205561638,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
45,0.03630087524652481,8.38982032291824e-06,0.12290310859680176,0.4118621051311493,4.19491016145912e-06,0.06145155429840088,0.20593105256557465,0.3036876916885376,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
46,0.003231804119423032,5.549293291551294e-06,0.05362105369567871,0.20392489433288574,2.774646645775647e-06,0.026810526847839355,0.10196244716644287,0.13200755417346954,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
47,0.003159254090860486,5.432746092992602e-06,0.04772680997848511,0.22117960453033447,2.716373046496301e-06,0.023863404989242554,0.11058980226516724,0.1376151740550995,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
48,0.0035557604860514402,8.227938451454975e-06,0.14324980974197388,0.3067686855792999,4.113969225727487e-06,0.07162490487098694,0.15338434278964996,0.2285691201686859,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
49,0.0038469864521175623,7.560844096587971e-06,0.08384621143341064,0.21825821697711945,3.7804220482939854e-06,0.04192310571670532,0.10912910848855972,0.15490297973155975,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
