round,checkpoint_role,source_mean_macro_f1,target_macro_f1,generalization_gap
18,interleaved_pre_uda,0.9963277657687366,0.49006531101760586,0.5062624547511307
18,interleaved_post_uda,0.9897367627185198,0.5432191509572335,0.44651761176128635
19,pure_source_reference,0.9926402517024959,0.3393531677661954,0.6532870839363005
19,interleaved_pre_uda,0.9955946281633287,0.5251596247319584,0.47043500343137024
19,interleaved_post_uda,0.9919220715114083,0.5348188168973473,0.457103254614061
20,pure_source_reference,0.9948484947985088,0.2916002691879585,0.7032482256105503
20,interleaved_pre_uda,0.9963277849638412,0.5713503669464881,0.4249774180173531
20,interleaved_post_uda,0.9727028846377717,0.36696786169917384,0.6057350229385978
21,pure_source_reference,0.9926265886531209,0.2878457518566544,0.7047808367964665
21,interleaved_pre_uda,0.9933887901123195,0.3840728784987385,0.609315911613581
21,interleaved_post_uda,0.9676571540294413,0.48818200988828986,0.47947514414115144
22,pure_source_reference,0.9918907755838897,0.3322814444597454,0.6596093311241443
22,interleaved_pre_uda,0.996325641285976,0.4805493609008116,0.5157762803851644
22,interleaved_post_uda,0.9941281058627873,0.36111290991663236,0.633015195946155
23,pure_source_reference,0.9941131943201309,0.22977311828500524,0.7643400760351257
23,interleaved_pre_uda,0.9941280875657574,0.3729560101175521,0.6211720774482054
23,interleaved_post_uda,0.9926490366660932,0.47314318729096183,0.5195058493751313
24,pure_source_reference,0.9941153891096671,0.23444011224958083,0.7596752768600863
24,interleaved_pre_uda,0.9948528966513551,0.4720429160492202,0.5228099806021349
24,interleaved_post_uda,0.9955946281633287,0.4821171887440015,0.5134774394193271
25,pure_source_reference,0.9926400490182324,0.23521019723987577,0.7574298517783566
25,interleaved_pre_uda,0.9941258418758856,0.5104456114851201,0.48368023039076546
25,interleaved_post_uda,0.9933885801949969,0.4927165251381896,0.5006720550568073
