round,checkpoint_role,accuracy,macro_f1,nll,ece,num_examples,selection_role
18,interleaved_post_uda,0.55,0.5432191509572335,3.9967138963587145,0.4248179829734214,1360,posthoc_diagnostic_only
19,interleaved_pre_uda,0.5397058823529411,0.5251596247319584,4.086155532388126,0.44001988150617655,1360,posthoc_diagnostic_only
19,interleaved_post_uda,0.5213235294117647,0.5348188168973473,2.7314030002145206,0.3975579102907111,1360,posthoc_diagnostic_only
20,interleaved_pre_uda,0.5669117647058823,0.5713503669464881,2.7852361482732437,0.37720891530899436,1360,posthoc_diagnostic_only
20,interleaved_post_uda,0.36911764705882355,0.36696786169917384,4.724904021094827,0.5928186763516244,1360,posthoc_diagnostic_only
21,interleaved_pre_uda,0.4007352941176471,0.3840728784987385,4.798657097535975,0.575652987378485,1360,posthoc_diagnostic_only
21,interleaved_post_uda,0.5007352941176471,0.48818200988828986,3.5067646924187157,0.42513372315203446,1360,posthoc_diagnostic_only
22,interleaved_pre_uda,0.4948529411764706,0.4805493609008116,3.779591683780446,0.45467009526841784,1360,posthoc_diagnostic_only
22,interleaved_post_uda,0.3948529411764706,0.36111290991663236,5.583344734416288,0.5889956952894436,1360,posthoc_diagnostic_only
23,interleaved_pre_uda,0.39926470588235297,0.3729560101175521,5.513066106684068,0.5873244873083688,1360,posthoc_diagnostic_only
23,interleaved_post_uda,0.5,0.47314318729096183,3.7813850739422965,0.42641197885660564,1360,posthoc_diagnostic_only
24,interleaved_pre_uda,0.49411764705882355,0.4720429160492202,3.8960295228397146,0.4519611444762525,1360,posthoc_diagnostic_only
24,interleaved_post_uda,0.4852941176470588,0.4821171887440015,4.2120224728303794,0.4929643690805225,1360,posthoc_diagnostic_only
25,interleaved_pre_uda,0.5169117647058824,0.5104456114851201,4.31388251360725,0.46335134889711355,1360,posthoc_diagnostic_only
25,interleaved_post_uda,0.5191176470588236,0.4927165251381896,3.0768306507783776,0.4041923580581651,1360,posthoc_diagnostic_only
