round,checkpoint_role,C1_accuracy,C1_macro_f1,C2_accuracy,C2_macro_f1,source_mean_macro_f1
21,interleaved_pre_uda,0.9897058823529412,0.9897144947824198,0.9970588235294118,0.9970630854422191,0.9933887901123195
21,interleaved_post_uda,0.9588235294117647,0.9589434024105905,0.9764705882352941,0.9763709056482921,0.9676571540294413
22,pure_source_reference,0.9852941176470589,0.985252152124535,0.9985294117647059,0.9985293990432443,0.9918907755838897
22,interleaved_pre_uda,0.9955882352941177,0.9955881971297329,0.9970588235294118,0.9970630854422191,0.996325641285976
22,interleaved_post_uda,0.9941176470588236,0.9941261708844382,0.9941176470588236,0.9941300408411364,0.9941281058627873
23,pure_source_reference,0.9897058823529412,0.9896969895970175,0.9985294117647059,0.9985293990432443,0.9941131943201309
23,interleaved_pre_uda,0.9926470588235294,0.9926595171204698,0.9955882352941177,0.9955966580110451,0.9941280875657574
23,interleaved_post_uda,0.9926470588235294,0.9926555826491441,0.9926470588235294,0.9926424906830423,0.9926490366660932
24,pure_source_reference,0.9911764705882353,0.9911720564642562,0.9970588235294118,0.997058721755078,0.9941153891096671
24,interleaved_pre_uda,0.9911764705882353,0.9911763942594659,0.9985294117647059,0.9985293990432443,0.9948528966513551
24,interleaved_post_uda,0.9941176470588236,0.9941261708844382,0.9970588235294118,0.9970630854422191,0.9955946281633287
25,pure_source_reference,0.9911764705882353,0.9911632652568414,0.9941176470588236,0.9941168327796235,0.9926400490182324
25,interleaved_pre_uda,0.9911764705882353,0.9911928729438209,0.9970588235294118,0.9970588108079502,0.9941258418758856
25,interleaved_post_uda,0.9911764705882353,0.9911805023789487,0.9955882352941177,0.9955966580110451,0.9933885801949969
