client,class_id,gas,train_N,val_N,best_alpha,best_val_RMSE,alpha_audit,model,fit_N,calib_ratio,best_hidden,selected_mode,coaware_selected_mode,hybrid_selected_mode,passes_constraints,baseline_ALL_RMSE,ridge_ALL_RMSE,delta_ALL_RMSE,baseline_CO_RMSE,ridge_CO_RMSE,delta_CO_RMSE,baseline_nonCO_RMSE,ridge_nonCO_RMSE,delta_nonCO_RMSE,coaware_score,max_nonco_delta,mlp_ALL_RMSE,mlp_CO_RMSE,mlp_nonCO_RMSE
C3,2,Ethylene,130,40,0.1,4.982886763463621,,source_aug_target_ridge,170,20.0,,,,,,,,,,,,,,,,,,,
C3,3,Methane,130,40,0.01,3.05129451508153,,source_aug_target_ridge,170,20.0,,,,,,,,,,,,,,,,,,,
C4,0,Ethanol,60,20,1.0,3.920615992732888,,source_aug_target_ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C4,1,CO,60,20,10.0,16.16837885252757,,source_aug_target_ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C4,2,Ethylene,60,20,0.1,3.8027447596693786,,source_aug_target_ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C4,3,Methane,60,20,0.01,8.966383223045453,,source_aug_target_ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C5,0,Ethanol,60,20,10.0,4.70451399436205,,source_aug_target_ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C5,1,CO,60,20,0.1,10.629690381453763,,source_aug_target_ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C5,2,Ethylene,60,20,0.0,2.2638527389312317,,source_aug_target_ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C5,3,Methane,60,20,0.1,8.811089281011252,,source_aug_target_ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C3,,,,,,,,ridge,,20.0,,ridge_direct,ridge_direct,ridge_direct,1,12.16297875091133,5.187464246207852,-6.975514504703479,19.97930564352381,8.593657164093488,-11.385648479430321,8.012064951957141,3.355999491893279,-4.6560654600638625,-11.385648479430321,1.0,,,
C4,,,,,,,,ridge,,20.0,,ridge_direct,ridge_direct,ridge_direct,1,10.754541991123656,6.801948868709741,-3.952593122413915,13.34035860129856,13.00235752638462,-0.33800107491394016,9.74124437882771,2.309742583509842,-7.431501795317868,-0.33800107491394016,1.0,,,
C5,,,,,,,,ridge,,20.0,,baseline_final,ridge_direct,ridge_direct,0,28.730250457324182,25.158985660261035,-3.5712647970631473,49.16296557040393,16.144980479975896,-33.01798509042803,17.17276896412441,27.51507370584397,10.342304741719563,-30.432408904998137,1.0,,,
C3,,,,,,,,mlp,,20.0,,mlp_direct,mlp_direct,mlp_direct,1,12.16297875091133,,-12.1561124091659,19.97930564352381,,-19.974908398621203,8.012064951957141,,-8.004553830577775,-19.974908398621203,1.0,0.006866341745431077,0.004397244902605817,0.007511121379365959
