mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE,calib_ratio,calibration_subset_fraction_of_20pct
B0_baseline_final,test,C5-CO_low_25_100,baseline_final_ppm,136,32.718059118772295,23.547905029537265,0.14541359608343243,5.848283240544227,48.99037666618824,10.0,0.5
B0_baseline_final,test,C5-CO_mid_125_175,baseline_final_ppm,102,45.398435985373574,35.89817296768374,0.20177082660166035,7.410517719336877,75.51520705223085,10.0,0.5
B0_baseline_final,test,C5-CO_high_200_250,baseline_final_ppm,102,60.003991602304794,42.28148382960581,0.26668440712135466,-40.12221447100826,85.81828527152541,10.0,0.5
B0_baseline_final,test,C5-nonCO,baseline_final_ppm,1020,31.299706978665625,11.277306275830293,0.2341711746509563,0.06234260638901854,18.580510430037982,10.0,0.5
B0_baseline_final,test,nonCO_ALL,baseline_final_ppm,4050,19.00289748774791,8.829248528104033,0.14376059276542724,0.2899829550447908,18.60622443258762,10.0,0.5
H2_3_lowcal,test,ALL,h2_3_lowcal_plus_c4_ppm,5400,23.230176160352496,11.205141151767997,0.15446741666354125,-0.14900251825131733,25.96736389586583,10.0,0.5
H2_3_lowcal,test,C3,h2_3_lowcal_plus_c4_ppm,2680,21.11570244753583,10.995761400923161,0.13106771754534283,-0.6373445143412194,25.795786280410695,10.0,0.5
H2_3_lowcal,test,C3-CO,h2_3_lowcal_plus_c4_ppm,670,24.968940237585453,17.291823856984585,0.11097306772260203,-6.4733358268178565,41.29295746230952,10.0,0.5
H2_3_lowcal,test,C3-CO_low_25_100,h2_3_lowcal_plus_c4_ppm,268,14.395423015758961,10.372203488569196,0.0639796578478176,-2.2117984351148485,23.740103649321973,10.0,0.5
H2_3_lowcal,test,C3-CO_mid_125_175,h2_3_lowcal_plus_c4_ppm,201,27.58523395962603,20.03183822734347,0.1226010398205601,-3.583466706023964,42.470711283788546,10.0,0.5
H2_3_lowcal,test,C3-CO_high_200_250,h2_3_lowcal_plus_c4_ppm,201,32.26314488105922,23.777969977846222,0.14339175502692986,-15.04525480321576,50.0,10.0,0.5
H2_3_lowcal,test,C3-nonCO,h2_3_lowcal_plus_c4_ppm,2010,19.664211000557746,8.897073915569354,0.1371130489418833,1.307985923150993,17.808127634622224,10.0,0.5
H2_3_lowcal,test,C4,h2_3_lowcal_plus_c4_ppm,1360,18.849330365671506,9.655632915406343,0.11110699013247297,0.1523514107752421,23.064756287664064,10.0,0.5
H2_3_lowcal,test,C4-CO,h2_3_lowcal_plus_c4_ppm,340,30.113025189013317,18.525130005734198,0.13383566750672585,2.966752437524144,39.15471089210678,10.0,0.5
H2_3_lowcal,test,C4-CO_low_25_100,h2_3_lowcal_plus_c4_ppm,136,17.73408680422259,12.584945142914378,0.07881816357432261,8.425556750647997,26.120620574652023,10.0,0.5
H2_3_lowcal,test,C4-CO_mid_125_175,h2_3_lowcal_plus_c4_ppm,102,28.183000977178136,21.68618846307233,0.12525778212079172,3.5082205670372457,53.67638303274266,10.0,0.5
H2_3_lowcal,test,C4-CO_high_200_250,h2_3_lowcal_plus_c4_ppm,102,42.53275948796733,23.284318032155838,0.18903448661318814,-4.853121442820761,43.78291542882122,10.0,0.5
H2_3_lowcal,test,C4-nonCO,h2_3_lowcal_plus_c4_ppm,1020,13.09446110514866,6.699133885297058,0.10241592833184185,-0.785782264807725,13.903051524853776,10.0,0.5
H2_3_lowcal,test,C5,h2_3_lowcal_plus_c4_ppm,1360,30.145703089295303,13.167250661853286,0.2203224046510095,0.5119645450169301,32.55882899819658,10.0,0.5
H2_3_lowcal,test,C5-CO,h2_3_lowcal_plus_c4_ppm,340,32.78698657725666,23.552257997819645,0.14571994034336294,-9.002981092605015,49.74649231979772,10.0,0.5
H2_3_lowcal,test,C5-CO_low_25_100,h2_3_lowcal_plus_c4_ppm,136,25.786967658338753,19.30887354668314,0.11460874514817222,-6.912289657693613,41.24167442383299,10.0,0.5
H2_3_lowcal,test,C5-CO_mid_125_175,h2_3_lowcal_plus_c4_ppm,102,34.219230324796015,26.666564994794147,0.1520854681102045,-1.6869839107739009,51.34685836168374,10.0,0.5
H2_3_lowcal,test,C5-CO_high_200_250,h2_3_lowcal_plus_c4_ppm,102,39.06032476421965,26.095796935693816,0.17360144339653175,-19.106566854318,53.620798194597576,10.0,0.5
H2_3_lowcal,test,C5-nonCO,h2_3_lowcal_plus_c4_ppm,1020,29.212252966718065,9.705581549864501,0.2400927230267086,3.683613090890912,15.942175221614415,10.0,0.5
H2_3_lowcal,test,nonCO_ALL,h2_3_lowcal_plus_c4_ppm,4050,21.21347258967929,8.547142793619555,0.16275724940647324,1.378972629169962,16.56987972770058,10.0,0.5
H8_plus_C4_forced_lowcal,test,ALL,h8_lowcal_plus_c4_ppm,5400,22.600953445656966,10.57046089191323,0.14890960476896645,0.7526250846523148,24.822514659627622,10.0,0.5
H8_plus_C4_forced_lowcal,test,C3,h8_lowcal_plus_c4_ppm,2680,17.974663864112284,8.726278718682662,0.11599842266846974,0.7935792731628847,18.195739886020203,10.0,0.5
H8_plus_C4_forced_lowcal,test,C3-CO,h8_lowcal_plus_c4_ppm,670,14.82930245674183,8.627141351777952,0.06590801091885258,-0.022321206533677473,18.400923141385967,10.0,0.5
H8_plus_C4_forced_lowcal,test,C3-CO_low_25_100,h8_lowcal_plus_c4_ppm,268,8.661524447139842,5.110934146715045,0.03849566420951041,1.6799855493822022,12.607483935326943,10.0,0.5
H8_plus_C4_forced_lowcal,test,C3-CO_mid_125_175,h8_lowcal_plus_c4_ppm,201,17.777491246924633,10.269172913399046,0.07901107220855391,3.74095431351651,18.718556031842922,10.0,0.5
H8_plus_C4_forced_lowcal,test,C3-CO_high_200_250,h8_lowcal_plus_c4_ppm,201,17.80333775296309,11.673386063574066,0.07912594556872485,-6.055339067805037,23.556926381071435,10.0,0.5
H8_plus_C4_forced_lowcal,test,C3-nonCO,h8_lowcal_plus_c4_ppm,2010,18.907193981460836,8.759324507650899,0.12842464761227657,1.0655460997284052,17.786573376264162,10.0,0.5
H8_plus_C4_forced_lowcal,test,C4,h8_lowcal_plus_c4_ppm,1360,20.99770431011592,11.153828991787291,0.11743361730188005,0.3276164512594362,28.732761000357282,10.0,0.5
H8_plus_C4_forced_lowcal,test,C4-CO,h8_lowcal_plus_c4_ppm,340,35.577573384430664,24.591443723022692,0.1581225483752474,4.329577305343274,50.369867243230466,10.0,0.5
H8_plus_C4_forced_lowcal,test,C4-CO_low_25_100,h8_lowcal_plus_c4_ppm,136,28.23590868198705,21.07335594312965,0.12549292747549798,11.535020855937798,48.35592099002759,10.0,0.5
H8_plus_C4_forced_lowcal,test,C4-CO_mid_125_175,h8_lowcal_plus_c4_ppm,102,34.49533569784263,27.510000662468677,0.15331260310152278,3.268692172014789,57.35713788164627,10.0,0.5
H8_plus_C4_forced_lowcal,test,C4-CO_high_200_250,h8_lowcal_plus_c4_ppm,102,44.342555061456395,26.363670490100766,0.19707802249536177,-4.21679562878761,50.0,10.0,0.5
H8_plus_C4_forced_lowcal,test,C4-nonCO,h8_lowcal_plus_c4_ppm,1020,12.882166190198685,6.674624081375489,0.10026610857402621,-1.0063705001018428,13.903051524853776,10.0,0.5
