requested_coverage,coverage,N,RMSE,NRMSE_range,MAE,max_accepted_risk,scope
0.54,0.5397833395592081,1445,6.384072665901485,0.0360326100312655,3.9578609703371184,0.4733346883415407,C3
0.55,0.5498692566305566,1472,6.404291818544681,0.03615138863048775,3.9799427513074206,0.4783355022486993,C3
0.56,0.5599551737019051,1499,6.383210489558782,0.0362049299537937,3.977171477593078,0.4826992676936414,C3
0.57,0.5696675382891296,1525,6.452698040212546,0.03682337328994045,4.028447375429825,0.4871914844881913,C3
0.58,0.5797534553604782,1552,6.43317642894513,0.036997339532807094,4.024760678618754,0.4917859722633824,C3
0.59,0.5898393724318267,1579,6.410372441701815,0.03702907486822046,4.021796251864166,0.4961935915913295,C3
0.6,0.5999252895031751,1606,6.419183305696165,0.03721843904261115,4.032721332035934,0.5032907866891999,C3
0.61,0.6096376540903997,1632,6.3899795315878904,0.03714047871630633,4.016805183892818,0.5084133711050166,C3
0.62,0.6197235711617483,1659,6.376205001775383,0.03709293541495185,4.023613225271624,0.515214514004383,C3
0.63,0.6298094882330968,1686,6.352829621923741,0.03710611049084127,4.0203284355774,0.5215540768749939,C3
0.64,0.6398954053044452,1713,6.363954450194184,0.037462863034232186,4.037115222064077,0.5274091168855308,C3
0.65,0.6499813223757938,1740,6.35578712102289,0.03759487820815792,4.042920642924793,0.532693141637771,C3
0.66,0.6596936869630183,1766,6.339761725196578,0.03756557635227733,4.039573343366279,0.5394032603614708,C3
0.67,0.6697796040343669,1793,7.205728135343367,0.04065389406629282,4.148154027593913,0.5454496009036908,C3
0.68,0.6798655211057153,1820,7.188833665755359,0.04076727424005834,4.1633767087241695,0.5507127861692226,C3
0.69,0.6899514381770638,1847,7.173453511149447,0.04074627307700645,4.1706835543941825,0.5566293155271494,C3
0.7,0.6996638027642884,1873,7.177335880896091,0.04109085989513873,4.190397822863587,0.5632790686475548,C3
0.71,0.709749719835637,1900,7.176532815853974,0.04136675482159461,4.20715966568703,0.5682294799896567,C3
0.72,0.7198356369069854,1927,7.254227233948702,0.04191293212407671,4.260313787114905,0.5757842512226583,C3
0.73,0.7299215539783339,1954,7.276055150779551,0.04197656470093244,4.287233098031085,0.5826056948526322,C3
0.74,0.7396339185655585,1980,7.270363267527506,0.04195655797113612,4.299442723039777,0.5892064531387322,C3
0.75,0.749719835636907,2007,7.276298222577478,0.042341708949292296,4.322233828743257,0.5974883231330481,C3
0.76,0.7598057527082555,2034,7.287351561712375,0.04270084687614653,4.350516590394298,0.6048823586012095,C3
0.77,0.769891669779604,2061,7.297259758297424,0.04285145513034116,4.371000454256402,0.6144565385154929,C3
0.78,0.7799775868509525,2088,7.656497982513579,0.0445992734610812,4.470590346861904,0.6222952655381493,C3
0.79,0.7896899514381771,2114,7.9450934652819045,0.045694151630473065,4.552431155144111,0.6262272085411792,C3
0.8,0.7997758685095255,2141,8.231986654658645,0.046715600257474274,4.622941242355388,0.6304306724768926,C3
0.81,0.8098617855808741,2168,8.294403263587178,0.04686515111860856,4.679405425646,0.6335982744092549,C3
0.82,0.8199477026522226,2195,8.293620456851086,0.04695977601040918,4.709833159168473,0.6374847127672537,C3
0.83,0.8296600672394472,2221,8.378662084745908,0.04730250267845941,4.768637922771867,0.6413055551418574,C3
0.84,0.8397459843107956,2248,8.354750954067635,0.04715066719371448,4.7671498424741525,0.6471528872271702,C3
0.85,0.8498319013821442,2275,8.356536398574528,0.047479717154031174,4.779716454321739,0.651549937613057,C3
0.86,0.8599178184534927,2302,8.42431655325138,0.047947271137518815,4.842174181194708,0.6587831020922187,C3
0.87,0.8696301830407173,2328,8.419686020934819,0.048040740782745936,4.8545696121640844,0.6663125975442645,C3
0.88,0.8797161001120657,2355,8.67038925656123,0.04895060126533114,4.988764510772049,0.6697374358648182,C3
