variant,scope,loss_name,configured_weight,input_available,active_steps,mean_raw_loss,mean_weighted_loss,inactive_reason
A6,server_da,consistency,2.0,True,2500,619.258580267334,1238.517160534668,
A6,server_da,coral,0.5,True,2500,6.366668506927908e-07,3.183334253463954e-07,
A6,server_da,device_residual,0.1,False,0,0.0,0.0,client_residual_unavailable
A6,server_da,device_residual,0.1,True,2400,511.3990810905583,51.13990810905583,
A6,server_da,global_mmd,0.5,True,2500,0.03368608136177063,0.016843040680885314,
A6,server_da,proto_anchor,0.3,True,2500,1268.951880932617,380.6855642797852,
A6,server_da,proto_loss,0.05,True,2500,34678.999563761536,1733.9499781880766,
A6,server_da,proto_mmd,0.2,True,2500,0.0,0.0,
A6,server_da,source_ce,1.0,True,2500,0.0851718046962982,0.0851718046962982,
A6,server_da,stage_mmd,0.2,True,2500,0.10192149859815836,0.020384299719631672,
A6,server_da,target_ce,0.0,True,0,0.0,0.0,configured_weight_zero
