candidate,scope,final_n,final_rmse,final_mae,final_nrmse_range,final_p90ae,final_p95ae,final_bias,final_route_acc,raw_n,raw_rmse,raw_mae,raw_nrmse_range,raw_p90ae,raw_p95ae,raw_bias,raw_route_acc
M2_R3b_depth4_msconv16,C5_CO_high,24,105.306607877349,89.24038901284803,0.4680293683437733,146.25707626342773,146.25707626342773,-89.24038901284803,0.9166666666666666,24,169.61350890691256,161.42140243803928,0.7538378173640559,225.0,225.0,-161.42140243803928,0.9166666666666666
M2_R3b_depth4_msconv16,C5_nonCO,240,28.16212215650037,14.623389141624463,0.19797599562232795,32.0271678234501,41.760608144104474,1.4673420976151477,0.9666666666666667,240,32.32558960441076,20.402456148925314,0.2396987619018341,42.198201604187474,62.59441483765837,-10.042851023366287,0.9666666666666667
M3_S2_tcnadapter_k3g005,ALL,1320,26.900790645771387,15.942303300816434,0.16088355045662572,39.46332350373268,51.98074139654636,-4.533128920810292,0.9818181818181818,1320,29.290287923444406,17.66308516207077,0.16892522811693145,45.32318770885468,56.7044224590063,-0.19895036230798613,0.9818181818181818
M3_S2_tcnadapter_k3g005,CO,330,38.71870967311702,27.321221261024192,0.17208315410274233,51.99068501591683,72.94668946415187,-14.724491005304806,0.9727272727272728,330,38.71870967311702,27.321221261024192,0.17208315410274233,51.99068501591683,72.94668946415187,-14.724491005304806,0.9727272727272728
M3_S2_tcnadapter_k3g005,CO_high,99,52.643755585550736,38.466613195399106,0.23397224704689215,73.92977371811867,90.67014053463926,-33.66450162150549,0.9797979797979798,99,52.643755585550736,38.466613195399106,0.23397224704689215,73.92977371811867,90.67014053463926,-33.66450162150549,0.9797979797979798
M3_S2_tcnadapter_k3g005,nonCO,990,21.567503879056567,12.149330647413848,0.15697288014619,31.933779958635593,47.39979561343267,-1.1360082259787871,0.9848484848484849,990,25.380736709835457,14.44370646241963,0.16785938445762785,37.3166247457266,53.484098352491856,4.642896518690954,0.9848484848484849
M3_S2_tcnadapter_k3g005,C3_ALL,680,25.232821753603957,15.87858987424942,0.14681755239673047,41.2403060189225,51.660520061850534,-4.585873940310801,0.9882352941176471,680,29.95553386758746,19.21893113433137,0.1634130128422976,47.486800625920324,61.33503355085848,3.827531496781911,0.9882352941176471
M3_S2_tcnadapter_k3g005,C3_CO,170,35.11650764751711,26.185500037801617,0.1560733673222983,50.12350127100944,57.99834899604317,-18.900853564195774,0.9882352941176471,170,35.11650764751711,26.185500037801617,0.1560733673222983,50.12350127100944,57.99834899604317,-18.900853564195774,0.9882352941176471
M3_S2_tcnadapter_k3g005,C3_CO_high,51,49.019715310442315,37.739999767612005,0.2178654013797436,62.33479231595993,75.65365172922611,-37.14012284489239,1.0,51,49.019715310442315,37.739999767612005,0.2178654013797436,62.33479231595993,75.65365172922611,-37.14012284489239,1.0
M3_S2_tcnadapter_k3g005,C3_nonCO,510,20.925359935084103,12.442953153065357,0.143599766457268,33.884030879061854,49.74036258477856,0.18578593431752327,0.9882352941176471,510,28.02479216581031,16.896741499841287,0.16578736891720333,47.44172781705857,61.968350037932375,11.403659850441139,0.9882352941176471
M3_S2_tcnadapter_k3g005,C4_ALL,320,20.25847412690882,13.059335210291465,0.11143312243249805,32.971728295087814,40.0893458724022,-5.097263054467475,0.996875,320,20.25847412690882,13.059335210291465,0.11143312243249805,32.971728295087814,40.0893458724022,-5.097263054467475,0.996875
M3_S2_tcnadapter_k3g005,C4_CO,80,24.124168176796434,19.578760699369013,0.10721852523020639,38.94960671663285,42.44092822074889,-4.519231799058615,1.0,80,24.124168176796434,19.578760699369013,0.10721852523020639,38.94960671663285,42.44092822074889,-4.519231799058615,1.0
