source_round,val_loss,coral_loss,mmd_global,mmd_class,adv_loss,proto_anchor,proto_loss,consist_loss,residual_loss,mmd_proto_loss,stage_mmd_loss,align_reg_legacy_loss,target_ce_loss,target_ce_acc,weighted_coral_loss,weighted_mmd_global,weighted_mmd_class,weighted_adv_loss,weighted_proto_anchor,weighted_proto_loss,weighted_consist_loss,weighted_residual_loss,weighted_mmd_proto_loss,weighted_stage_mmd_loss,weighted_align_reg_legacy_loss,weighted_target_ce_loss,total_loss,mmd_objective,stage_alignment,adv_feature_objective,proto_pair_l2_enabled,proto_pair_l2_trainable,num_steps,lambda_coral,lambda_global_mmd,lambda_class_mmd,lambda_proto_anchor,lambda_adv,lambda_target_ce,lambda_proto,lambda_consistency,lambda_residual,lambda_proto_mmd,lambda_stage_mmd,target_ce_label_smoothing,target_ce_class_balanced,target_ce_class_weights,semantic_proto_count,semantic_proto_trainable,device_residual_count,client_proto_groups
11,0.05211721360683441,5.906475053052418e-06,0.060841575264930725,0.1887761354446411,0.05133288353681564,0.0,0.0,0.0,0.0,0.0,0.2617461681365967,0.0,0.0,0.0,2.953237526526209e-06,0.030420787632465363,0.09438806772232056,0.02566644176840782,0.0,0.0,0.0,0.0,0.0,0.05234924331307411,0.0,0.0,0.25494468212127686,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
12,0.047119662165641785,5.954591415502364e-06,0.057520877569913864,0.1700158566236496,0.04464961960911751,0.0,0.0,0.0,0.0,0.0,0.2393532693386078,0.0,0.0,0.0,2.977295707751182e-06,0.028760438784956932,0.0850079283118248,0.022324809804558754,0.0,0.0,0.0,0.0,0.0,0.04787065088748932,0.0,0.0,0.23108646273612976,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
13,0.04372371733188629,5.890369266126072e-06,0.059416722506284714,0.1759476661682129,0.059523943811655045,0.0,0.0,0.0,0.0,0.0,0.24632060527801514,0.0,0.0,0.0,2.945184633063036e-06,0.029708361253142357,0.08797383308410645,0.029761971905827522,0.0,0.0,0.0,0.0,0.0,0.04926411807537079,0.0,0.0,0.240434929728508,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
14,0.037602052092552185,6.32467572359019e-06,0.05865039676427841,0.1745278388261795,0.05265035480260849,0.0,0.0,0.0,0.0,0.0,0.24711254239082336,0.0,0.0,0.0,3.162337861795095e-06,0.029325198382139206,0.08726391941308975,0.026325177401304245,0.0,0.0,0.0,0.0,0.0,0.04942251369357109,0.0,0.0,0.22994202375411987,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
15,0.030029328539967537,6.488173767138505e-06,0.06308434158563614,0.19413749873638153,0.06542886048555374,0.0,0.0,0.0,0.0,0.0,0.2586055099964142,0.0,0.0,0.0,3.2440868835692527e-06,0.03154217079281807,0.09706874936819077,0.03271443024277687,0.0,0.0,0.0,0.0,0.0,0.05172111093997955,0.0,0.0,0.24307900667190552,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
16,0.03080563060939312,8.340539352502674e-06,0.06554713100194931,0.21424560248851776,0.08425769954919815,0.0,0.0,0.0,0.0,0.0,0.2946825325489044,0.0,0.0,0.0,4.170269676251337e-06,0.032773565500974655,0.10712280124425888,0.042128849774599075,0.0,0.0,0.0,0.0,0.0,0.05893651023507118,0.0,0.0,0.27177152037620544,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
17,0.027734950184822083,6.797526566515444e-06,0.07125460356473923,0.22753314673900604,0.0860048308968544,0.0,0.0,0.0,0.0,0.0,0.2982204854488373,0.0,0.0,0.0,3.398763283257722e-06,0.035627301782369614,0.11376657336950302,0.0430024154484272,0.0,0.0,0.0,0.0,0.0,0.05964409187436104,0.0,0.0,0.27977874875068665,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
18,0.02568790689110756,7.5500111051951535e-06,0.06423401832580566,0.20288623869419098,0.07488834112882614,0.0,0.0,0.0,0.0,0.0,0.2735377550125122,0.0,0.0,0.0,3.7750055525975768e-06,0.03211700916290283,0.10144311934709549,0.03744417056441307,0.0,0.0,0.0,0.0,0.0,0.05470754951238632,0.0,0.0,0.2514035105705261,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
19,0.024918174371123314,7.271033155120676e-06,0.058837875723838806,0.1775018870830536,0.05926286801695824,0.0,0.0,0.0,0.0,0.0,0.2476637065410614,0.0,0.0,0.0,3.635516577560338e-06,0.029418937861919403,0.0887509435415268,0.02963143400847912,0.0,0.0,0.0,0.0,0.0,0.04953274875879288,0.0,0.0,0.2222559005022049,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
20,0.021861640736460686,6.888571078889072e-06,0.06435413658618927,0.19808797538280487,0.05910377949476242,0.0,0.0,0.0,0.0,0.0,0.2687363624572754,0.0,0.0,0.0,3.444285539444536e-06,0.032177068293094635,0.09904398769140244,0.02955188974738121,0.0,0.0,0.0,0.0,0.0,0.053747277706861496,0.0,0.0,0.2363852858543396,mmd2,cross_domain_same_class_phase,wasserstein_min,False,False,100,0.5,0.5,0.5,0.3,0.5,0.0,0.05,2.0,0.1,0.0,0.2,0.0,False,,0,0,0,0
