source_round,method,accuracy,macro_f1,nll,ece,num_examples,per_class_recall,checkpoint_sha256,commissioning_steps,commissioning_lr,commissioning_time_seconds,target_label_access,selection_role
21,simple_target_ce,0.9691176470588235,0.9692920635422438,0.13235744805458713,0.013449519390568945,1360,"{""0"": 0.9764705882352941, ""1"": 0.9911764705882353, ""2"": 0.9529411764705882, ""3"": 0.9558823529411765}",7be58d97229bceabfd8aa9ae4c3966ecfdbaeb1312387bc725007d6be661a72b,100,0.0005,3.2224362999986624,C5_calibration_320_labels,post_hoc_diagnostic_only
21,full_target_adapter,0.9073529411764706,0.9076939222154579,0.4834742603056571,0.06929530895808166,1360,"{""0"": 0.8764705882352941, ""1"": 0.9676470588235294, ""2"": 0.8294117647058824, ""3"": 0.9558823529411765}",7be58d97229bceabfd8aa9ae4c3966ecfdbaeb1312387bc725007d6be661a72b,100,0.0005,49.16489150000052,C5_calibration_320_labels,post_hoc_diagnostic_only
22,source_only,0.39705882352941174,0.3322814444597454,4.096227999294506,0.5894359314266373,1360,"{""0"": 0.28823529411764703, ""1"": 0.0029411764705882353, ""2"": 0.3176470588235294, ""3"": 0.9794117647058823}",45a25ff5782f0728f1b24f5869e847050533b9eaa3f4640e5bf0b49302858726,0,0.0,0.36081779999949504,none,post_hoc_diagnostic_only
22,simple_target_ce,0.9698529411764706,0.9699221324182531,0.14774066562599997,0.01604564472594683,1360,"{""0"": 0.9470588235294117, ""1"": 0.9852941176470589, ""2"": 0.9647058823529412, ""3"": 0.9823529411764705}",45a25ff5782f0728f1b24f5869e847050533b9eaa3f4640e5bf0b49302858726,100,0.0005,4.449504299998807,C5_calibration_320_labels,post_hoc_diagnostic_only
22,full_target_adapter,0.8845588235294117,0.8855798807091467,0.5910123025669771,0.07369958151351,1360,"{""0"": 0.8794117647058823, ""1"": 0.9235294117647059, ""2"": 0.7911764705882353, ""3"": 0.9441176470588235}",45a25ff5782f0728f1b24f5869e847050533b9eaa3f4640e5bf0b49302858726,100,0.0005,63.23019239999849,C5_calibration_320_labels,post_hoc_diagnostic_only
23,source_only,0.32794117647058824,0.22977311828500524,4.532737429001752,0.6543296102215262,1360,"{""0"": 0.052941176470588235, ""1"": 0.0, ""2"": 0.27941176470588236, ""3"": 0.9794117647058823}",f15f418db880c7319e2ba391420e7eabc9a66455c1efc5600fb0856985ba0372,0,0.0,0.3336024999989604,none,post_hoc_diagnostic_only
23,simple_target_ce,0.9705882352941176,0.9706324262202984,0.14148823834736557,0.01608106656109578,1360,"{""0"": 0.9647058823529412, ""1"": 0.9823529411764705, ""2"": 0.9529411764705882, ""3"": 0.9823529411764705}",f15f418db880c7319e2ba391420e7eabc9a66455c1efc5600fb0856985ba0372,100,0.0005,3.169978899997659,C5_calibration_320_labels,post_hoc_diagnostic_only
23,full_target_adapter,0.9154411764705882,0.9165328889002793,0.39407801356385735,0.049243600863744214,1360,"{""0"": 0.9323529411764706, ""1"": 0.9647058823529412, ""2"": 0.8176470588235294, ""3"": 0.9470588235294117}",f15f418db880c7319e2ba391420e7eabc9a66455c1efc5600fb0856985ba0372,100,0.0005,52.12612319999971,C5_calibration_320_labels,post_hoc_diagnostic_only
24,source_only,0.3264705882352941,0.23444011224958083,4.734122467041016,0.6574104082496727,1360,"{""0"": 0.08235294117647059, ""1"": 0.0, ""2"": 0.2323529411764706, ""3"": 0.9911764705882353}",7f2f27353e028d2e605b5867f410a58d2b4e169b06d7b4f1d304dea3d1fee867,0,0.0,0.32206699999733246,none,post_hoc_diagnostic_only
24,simple_target_ce,0.9742647058823529,0.9743543358602897,0.11751958481310044,0.009089793966097048,1360,"{""0"": 0.9882352941176471, ""1"": 0.9823529411764705, ""2"": 0.9647058823529412, ""3"": 0.961764705882353}",7f2f27353e028d2e605b5867f410a58d2b4e169b06d7b4f1d304dea3d1fee867,100,0.0005,3.4783055999978387,C5_calibration_320_labels,post_hoc_diagnostic_only
24,full_target_adapter,0.8823529411764706,0.8834494196426252,0.6114331504877876,0.07177511994891309,1360,"{""0"": 0.8911764705882353, ""1"": 0.9264705882352942, ""2"": 0.7647058823529411, ""3"": 0.9470588235294117}",7f2f27353e028d2e605b5867f410a58d2b4e169b06d7b4f1d304dea3d1fee867,100,0.0005,59.51056629999948,C5_calibration_320_labels,post_hoc_diagnostic_only
25,source_only,0.325,0.23521019723987577,4.878474190655877,0.6633810794528793,1360,"{""0"": 0.10294117647058823, ""1"": 0.0, ""2"": 0.2, ""3"": 0.9970588235294118}",4313c375a8fa2e929de9d65637a2196f6c0f0752c2dc78112020b8727351751c,0,0.0,0.32992230000309064,none,post_hoc_diagnostic_only
25,simple_target_ce,0.9764705882352941,0.9765302102809498,0.10456264620537267,0.007608578814303149,1360,"{""0"": 0.9941176470588236, ""1"": 0.9764705882352941, ""2"": 0.9588235294117647, ""3"": 0.9764705882352941}",4313c375a8fa2e929de9d65637a2196f6c0f0752c2dc78112020b8727351751c,100,0.0005,3.409542599998531,C5_calibration_320_labels,post_hoc_diagnostic_only
25,full_target_adapter,0.8977941176470589,0.8995906929205248,0.4834382877630346,0.07330387813203472,1360,"{""0"": 0.8558823529411764, ""1"": 0.9352941176470588, ""2"": 0.8529411764705882, ""3"": 0.9470588235294117}",4313c375a8fa2e929de9d65637a2196f6c0f0752c2dc78112020b8727351751c,100,0.0005,79.15871360000165,C5_calibration_320_labels,post_hoc_diagnostic_only
