base_mode,client,class_id,gas,residual_mode,n_fit,n_val,best_alpha,val_RMSE,candidate,refit_mode,alpha_hint,n_refit
source_ridge,C4,3,Methane,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=0.0;high=0.0,80
source_ridge,C5,0,Ethanol,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=10.0;high=10.0,80
source_ridge,C5,1,CO,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=100.0;high=100.0,80
source_ridge,C5,2,Ethylene,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=0.01;high=0.01,80
source_ridge,C5,3,Methane,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=0.1;high=0.01,80
source_per_gas_mlp,C3,0,Ethanol,identity,130,40,,39.85019295163023,,,,
source_per_gas_mlp,C3,0,Ethanol,affine,130,40,,20.335677779179363,,,,
source_per_gas_mlp,C3,0,Ethanol,ridge_basic,130,40,0.0,20.335677779155045,,,,
source_per_gas_mlp,C3,0,Ethanol,ridge_phase,130,40,10.0,4.083822073374483,,,,
source_per_gas_mlp,C3,0,Ethanol,piecewise_ridge,130,40,low=10.0;high=10.0,3.3889156846296262,,,,
source_per_gas_mlp,C3,1,CO,identity,130,40,,98.62001679539611,,,,
source_per_gas_mlp,C3,1,CO,affine,130,40,,50.11136861496562,,,,
source_per_gas_mlp,C3,1,CO,ridge_basic,130,40,0.0,50.111368614954436,,,,
source_per_gas_mlp,C3,1,CO,ridge_phase,130,40,1.0,8.518704976398645,,,,
source_per_gas_mlp,C3,1,CO,piecewise_ridge,130,40,low=0.0;high=1.0,7.851754109026001,,,,
source_per_gas_mlp,C3,2,Ethylene,identity,130,40,,22.44138105974193,,,,
source_per_gas_mlp,C3,2,Ethylene,affine,130,40,,17.583640909680014,,,,
source_per_gas_mlp,C3,2,Ethylene,ridge_basic,130,40,0.0,17.583640909656697,,,,
source_per_gas_mlp,C3,2,Ethylene,ridge_phase,130,40,1.0,5.087075688631092,,,,
source_per_gas_mlp,C3,2,Ethylene,piecewise_ridge,130,40,low=1.0;high=100.0,5.6819955687103985,,,,
source_per_gas_mlp,C3,3,Methane,identity,130,40,,73.19167909629975,,,,
source_per_gas_mlp,C3,3,Methane,affine,130,40,,35.38316967018927,,,,
source_per_gas_mlp,C3,3,Methane,ridge_basic,130,40,0.0,35.383169670177395,,,,
source_per_gas_mlp,C3,3,Methane,ridge_phase,130,40,0.01,3.1022210483504646,,,,
source_per_gas_mlp,C3,3,Methane,piecewise_ridge,130,40,low=100.0;high=0.01,3.6820960786569956,,,,
source_per_gas_mlp,C4,0,Ethanol,identity,60,20,,47.04147900410495,,,,
source_per_gas_mlp,C4,0,Ethanol,affine,60,20,,23.95080931403644,,,,
source_per_gas_mlp,C4,0,Ethanol,ridge_basic,60,20,0.0,23.950809313971792,,,,
source_per_gas_mlp,C4,0,Ethanol,ridge_phase,60,20,1.0,3.996588918619677,,,,
source_per_gas_mlp,C4,0,Ethanol,piecewise_ridge,60,20,low=1000.0;high=0.1,5.062179648560134,,,,
source_per_gas_mlp,C4,1,CO,identity,60,20,,111.240126282814,,,,
source_per_gas_mlp,C4,1,CO,affine,60,20,,56.576163730763874,,,,
source_per_gas_mlp,C4,1,CO,ridge_basic,60,20,0.0,56.57616373072456,,,,
source_per_gas_mlp,C4,1,CO,ridge_phase,60,20,10.0,17.11410464232147,,,,
source_per_gas_mlp,C4,1,CO,piecewise_ridge,60,20,low=0.0;high=10.0,16.539201730260324,,,,
source_per_gas_mlp,C4,2,Ethylene,identity,60,20,,33.31335395079872,,,,
source_per_gas_mlp,C4,2,Ethylene,affine,60,20,,18.66409971750486,,,,
source_per_gas_mlp,C4,2,Ethylene,ridge_basic,60,20,0.0,18.664099717496303,,,,
source_per_gas_mlp,C4,2,Ethylene,ridge_phase,60,20,10.0,4.7134398447014405,,,,
source_per_gas_mlp,C4,2,Ethylene,piecewise_ridge,60,20,low=10.0;high=1.0,4.772862185841429,,,,
source_per_gas_mlp,C4,3,Methane,identity,60,20,,81.91703410792543,,,,
source_per_gas_mlp,C4,3,Methane,affine,60,20,,41.2797419153786,,,,
source_per_gas_mlp,C4,3,Methane,ridge_basic,60,20,0.0,41.27974191536106,,,,
source_per_gas_mlp,C4,3,Methane,ridge_phase,60,20,0.0,9.024051490133447,,,,
source_per_gas_mlp,C4,3,Methane,piecewise_ridge,60,20,low=1000.0;high=1.0,10.78659109768599,,,,
source_per_gas_mlp,C5,0,Ethanol,identity,60,20,,59.83047997221184,,,,
source_per_gas_mlp,C5,0,Ethanol,affine,60,20,,32.76524279667388,,,,
source_per_gas_mlp,C5,0,Ethanol,ridge_basic,60,20,10.0,32.626681718641464,,,,
source_per_gas_mlp,C5,0,Ethanol,ridge_phase,60,20,10.0,3.9814489127302157,,,,
source_per_gas_mlp,C5,0,Ethanol,piecewise_ridge,60,20,low=1.0;high=10.0,4.259291006306215,,,,
source_per_gas_mlp,C5,1,CO,identity,60,20,,108.15295131996041,,,,
source_per_gas_mlp,C5,1,CO,affine,60,20,,57.08316555560592,,,,
source_per_gas_mlp,C5,1,CO,ridge_basic,60,20,0.0,57.08316555558107,,,,
source_per_gas_mlp,C5,1,CO,ridge_phase,60,20,0.1,9.805628137579035,,,,
source_per_gas_mlp,C5,1,CO,piecewise_ridge,60,20,low=0.0;high=0.1,10.932912656598509,,,,
source_per_gas_mlp,C5,2,Ethylene,identity,60,20,,55.76703888932606,,,,
source_per_gas_mlp,C5,2,Ethylene,affine,60,20,,29.192923345476018,,,,
source_per_gas_mlp,C5,2,Ethylene,ridge_basic,60,20,0.0,29.192923345455156,,,,
source_per_gas_mlp,C5,2,Ethylene,ridge_phase,60,20,0.0,2.508184720078973,,,,
source_per_gas_mlp,C5,2,Ethylene,piecewise_ridge,60,20,low=1.0;high=10.0,3.1022693826664933,,,,
source_per_gas_mlp,C5,3,Methane,identity,60,20,,36.68714830283396,,,,
source_per_gas_mlp,C5,3,Methane,affine,60,20,,32.59806071780867,,,,
source_per_gas_mlp,C5,3,Methane,ridge_basic,60,20,1.0,32.58928480292617,,,,
source_per_gas_mlp,C5,3,Methane,ridge_phase,60,20,0.1,9.181776043700452,,,,
source_per_gas_mlp,C5,3,Methane,piecewise_ridge,60,20,low=0.1;high=10.0,11.527072071017239,,,,
source_per_gas_mlp,C3,0,Ethanol,,,,,,source_per_gas_mlp_val_selected,piecewise_ridge,low=10.0;high=10.0,170
source_per_gas_mlp,C3,1,CO,,,,,,source_per_gas_mlp_val_selected,piecewise_ridge,low=0.0;high=1.0,170
source_per_gas_mlp,C3,2,Ethylene,,,,,,source_per_gas_mlp_val_selected,ridge_phase,1.0,170
source_per_gas_mlp,C3,3,Methane,,,,,,source_per_gas_mlp_val_selected,ridge_phase,0.01,170
source_per_gas_mlp,C4,0,Ethanol,,,,,,source_per_gas_mlp_val_selected,ridge_phase,1.0,80
source_per_gas_mlp,C4,1,CO,,,,,,source_per_gas_mlp_val_selected,piecewise_ridge,low=0.0;high=10.0,80
source_per_gas_mlp,C4,2,Ethylene,,,,,,source_per_gas_mlp_val_selected,ridge_phase,10.0,80
source_per_gas_mlp,C4,3,Methane,,,,,,source_per_gas_mlp_val_selected,ridge_phase,0.0,80
source_per_gas_mlp,C5,0,Ethanol,,,,,,source_per_gas_mlp_val_selected,ridge_phase,10.0,80
source_per_gas_mlp,C5,1,CO,,,,,,source_per_gas_mlp_val_selected,ridge_phase,0.1,80
source_per_gas_mlp,C5,2,Ethylene,,,,,,source_per_gas_mlp_val_selected,ridge_phase,0.0,80
source_per_gas_mlp,C5,3,Methane,,,,,,source_per_gas_mlp_val_selected,ridge_phase,0.1,80
source_per_gas_mlp,C3,0,Ethanol,,,,,,source_per_gas_mlp_forced_identity,identity,,170
source_per_gas_mlp,C3,1,CO,,,,,,source_per_gas_mlp_forced_identity,identity,,170
source_per_gas_mlp,C3,2,Ethylene,,,,,,source_per_gas_mlp_forced_identity,identity,,170
source_per_gas_mlp,C3,3,Methane,,,,,,source_per_gas_mlp_forced_identity,identity,,170
source_per_gas_mlp,C4,0,Ethanol,,,,,,source_per_gas_mlp_forced_identity,identity,,80
source_per_gas_mlp,C4,1,CO,,,,,,source_per_gas_mlp_forced_identity,identity,,80
source_per_gas_mlp,C4,2,Ethylene,,,,,,source_per_gas_mlp_forced_identity,identity,,80
source_per_gas_mlp,C4,3,Methane,,,,,,source_per_gas_mlp_forced_identity,identity,,80
source_per_gas_mlp,C5,0,Ethanol,,,,,,source_per_gas_mlp_forced_identity,identity,,80
source_per_gas_mlp,C5,1,CO,,,,,,source_per_gas_mlp_forced_identity,identity,,80
source_per_gas_mlp,C5,2,Ethylene,,,,,,source_per_gas_mlp_forced_identity,identity,,80
source_per_gas_mlp,C5,3,Methane,,,,,,source_per_gas_mlp_forced_identity,identity,,80
source_per_gas_mlp,C3,0,Ethanol,,,,,,source_per_gas_mlp_forced_affine,affine,,170
source_per_gas_mlp,C3,1,CO,,,,,,source_per_gas_mlp_forced_affine,affine,,170
source_per_gas_mlp,C3,2,Ethylene,,,,,,source_per_gas_mlp_forced_affine,affine,,170
source_per_gas_mlp,C3,3,Methane,,,,,,source_per_gas_mlp_forced_affine,affine,,170
source_per_gas_mlp,C4,0,Ethanol,,,,,,source_per_gas_mlp_forced_affine,affine,,80
source_per_gas_mlp,C4,1,CO,,,,,,source_per_gas_mlp_forced_affine,affine,,80
source_per_gas_mlp,C4,2,Ethylene,,,,,,source_per_gas_mlp_forced_affine,affine,,80
source_per_gas_mlp,C4,3,Methane,,,,,,source_per_gas_mlp_forced_affine,affine,,80
source_per_gas_mlp,C5,0,Ethanol,,,,,,source_per_gas_mlp_forced_affine,affine,,80
source_per_gas_mlp,C5,1,CO,,,,,,source_per_gas_mlp_forced_affine,affine,,80
source_per_gas_mlp,C5,2,Ethylene,,,,,,source_per_gas_mlp_forced_affine,affine,,80
source_per_gas_mlp,C5,3,Methane,,,,,,source_per_gas_mlp_forced_affine,affine,,80
source_per_gas_mlp,C3,0,Ethanol,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,10.0,170
source_per_gas_mlp,C3,1,CO,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,1.0,170
source_per_gas_mlp,C3,2,Ethylene,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,1.0,170
source_per_gas_mlp,C3,3,Methane,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,0.01,170
source_per_gas_mlp,C4,0,Ethanol,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,1.0,80
source_per_gas_mlp,C4,1,CO,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,10.0,80
source_per_gas_mlp,C4,2,Ethylene,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,10.0,80
source_per_gas_mlp,C4,3,Methane,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,0.0,80
source_per_gas_mlp,C5,0,Ethanol,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,10.0,80
source_per_gas_mlp,C5,1,CO,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,0.1,80
source_per_gas_mlp,C5,2,Ethylene,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,0.0,80
source_per_gas_mlp,C5,3,Methane,,,,,,source_per_gas_mlp_forced_ridge_phase,ridge_phase,0.1,80
source_per_gas_mlp,C3,0,Ethanol,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=10.0;high=10.0,170
source_per_gas_mlp,C3,1,CO,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=0.0;high=1.0,170
source_per_gas_mlp,C3,2,Ethylene,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=1.0;high=100.0,170
source_per_gas_mlp,C3,3,Methane,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=100.0;high=0.01,170
source_per_gas_mlp,C4,0,Ethanol,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=1000.0;high=0.1,80
source_per_gas_mlp,C4,1,CO,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=0.0;high=10.0,80
source_per_gas_mlp,C4,2,Ethylene,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=10.0;high=1.0,80
source_per_gas_mlp,C4,3,Methane,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=1000.0;high=1.0,80
source_per_gas_mlp,C5,0,Ethanol,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=1.0;high=10.0,80
source_per_gas_mlp,C5,1,CO,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=0.0;high=0.1,80
source_per_gas_mlp,C5,2,Ethylene,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=1.0;high=10.0,80
source_per_gas_mlp,C5,3,Methane,,,,,,source_per_gas_mlp_forced_piecewise_ridge,piecewise_ridge,low=0.1;high=10.0,80
source_shared_mlp,C3,0,Ethanol,identity,130,40,,33.66040487182961,,,,
source_shared_mlp,C3,0,Ethanol,affine,130,40,,8.8234398074701,,,,
source_shared_mlp,C3,0,Ethanol,ridge_basic,130,40,0.0,8.823439807456024,,,,
source_shared_mlp,C3,0,Ethanol,ridge_phase,130,40,10.0,4.668608869420653,,,,
source_shared_mlp,C3,0,Ethanol,piecewise_ridge,130,40,low=1.0;high=1.0,3.481416454814407,,,,
source_shared_mlp,C3,1,CO,identity,130,40,,79.85330156085503,,,,
source_shared_mlp,C3,1,CO,affine,130,40,,39.6388434449062,,,,
source_shared_mlp,C3,1,CO,ridge_basic,130,40,0.0,39.63884344489393,,,,
source_shared_mlp,C3,1,CO,ridge_phase,130,40,1.0,8.723402515625393,,,,
source_shared_mlp,C3,1,CO,piecewise_ridge,130,40,low=0.0;high=1.0,7.594177617633153,,,,
source_shared_mlp,C3,2,Ethylene,identity,130,40,,37.693666480441195,,,,
source_shared_mlp,C3,2,Ethylene,affine,130,40,,20.55243070353156,,,,
source_shared_mlp,C3,2,Ethylene,ridge_basic,130,40,10.0,20.394458257687496,,,,
source_shared_mlp,C3,2,Ethylene,ridge_phase,130,40,1.0,5.103205250015507,,,,
source_shared_mlp,C3,2,Ethylene,piecewise_ridge,130,40,low=1.0;high=10.0,3.8940657246100643,,,,
source_shared_mlp,C3,3,Methane,identity,130,40,,103.21672236186946,,,,
source_shared_mlp,C3,3,Methane,affine,130,40,,54.03839198783577,,,,
source_shared_mlp,C3,3,Methane,ridge_basic,130,40,0.0,54.03839198782703,,,,
source_shared_mlp,C3,3,Methane,ridge_phase,130,40,0.01,3.8201778673709343,,,,
source_shared_mlp,C3,3,Methane,piecewise_ridge,130,40,low=0.0;high=0.01,3.173258169606153,,,,
source_shared_mlp,C4,0,Ethanol,identity,60,20,,46.22851243601702,,,,
source_shared_mlp,C4,0,Ethanol,affine,60,20,,13.887127980999102,,,,
source_shared_mlp,C4,0,Ethanol,ridge_basic,60,20,0.0,13.887127980987271,,,,
source_shared_mlp,C4,0,Ethanol,ridge_phase,60,20,1.0,5.0527886405924,,,,
source_shared_mlp,C4,0,Ethanol,piecewise_ridge,60,20,low=1.0;high=10.0,4.408155514309372,,,,
source_shared_mlp,C4,1,CO,identity,60,20,,55.2500548599077,,,,
source_shared_mlp,C4,1,CO,affine,60,20,,30.27638120706825,,,,
source_shared_mlp,C4,1,CO,ridge_basic,60,20,0.0,30.27638120701267,,,,
source_shared_mlp,C4,1,CO,ridge_phase,60,20,10.0,16.88453025257447,,,,
source_shared_mlp,C4,1,CO,piecewise_ridge,60,20,low=10.0;high=0.0,22.991957242367487,,,,
source_shared_mlp,C4,2,Ethylene,identity,60,20,,17.378773808924944,,,,
source_shared_mlp,C4,2,Ethylene,affine,60,20,,14.648939169182308,,,,
source_shared_mlp,C4,2,Ethylene,ridge_basic,60,20,0.0,14.64893916916708,,,,
source_shared_mlp,C4,2,Ethylene,ridge_phase,60,20,0.01,4.295596523061242,,,,
source_shared_mlp,C4,2,Ethylene,piecewise_ridge,60,20,low=1.0;high=0.0,4.497195963528687,,,,
source_shared_mlp,C4,3,Methane,identity,60,20,,85.3915595589496,,,,
source_shared_mlp,C4,3,Methane,affine,60,20,,43.790449405454396,,,,
source_shared_mlp,C4,3,Methane,ridge_basic,60,20,0.0,43.79044940543867,,,,
source_shared_mlp,C4,3,Methane,ridge_phase,60,20,0.1,9.287426745750878,,,,
source_shared_mlp,C4,3,Methane,piecewise_ridge,60,20,low=0.0;high=1.0,10.518976093941262,,,,
