mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE,delta_RMSE_vs_baseline,delta_MAE_vs_baseline,delta_NRMSE_vs_baseline,delta_P90AE_vs_baseline,delta_Bias_vs_baseline
source_ridge_forced_identity,test,C3-CO,corrected_ppm,670,89.18018827565787,76.56500696090231,0.3963563923362572,75.12818111571961,139.74549315417622,55.47936295366917,55.7089780821711,0.24657494646075184,97.48068891013477,75.47612295056406
source_ridge_forced_identity,test,C3-CO_low_25_100,corrected_ppm,268,106.82173163254275,98.3572897941446,0.47476325170019007,98.18823826886465,150.0,81.75109212356634,81.6236165831851,0.36333818721585043,120.1386895403266,95.65494853591973
source_ridge_forced_identity,test,C3-CO_mid_125_175,corrected_ppm,201,101.02967555332536,98.55980612003988,0.44902078023700165,95.84013949914885,125.0,66.25886360463502,74.98753129203453,0.29448383824282237,69.20614540576935,92.14260753644648
source_ridge_forced_identity,test,C3-CO_high_200_250,corrected_ppm,201,32.99769883738035,25.513830690775055,0.146656439277246,23.669479861430347,50.0,-8.700743665756356,1.8775735376223786,-0.03866997184780596,7.099056243896484,31.904537584207475
source_ridge_forced_identity,test,C3-nonCO,corrected_ppm,2010,39.34125438525415,28.836959640057895,0.3159180723324168,-3.166412182331912,62.5,27.588382003986737,20.985400485918227,0.22168238588027034,44.51388895511626,-3.464020310220663
source_ridge_forced_identity,test,C4,corrected_ppm,1360,88.29037859955595,67.5645230289551,0.45818595558541914,12.32348851763603,150.0,57.679505377019154,54.50631705142088,0.3061752502024515,122.8464887291193,13.803743526461842
source_ridge_forced_identity,test,C4-CO,corrected_ppm,340,130.12141997985262,109.73004106575253,0.5783174221326783,-109.73004106575253,200.0,73.53298808981148,82.42065903106773,0.3268132803991622,148.6542403697967,-102.30122934704276
source_ridge_forced_identity,test,C4-CO_low_25_100,corrected_ppm,136,46.41084154003346,37.33732671816001,0.20627040684459316,-37.33732671816001,75.0,26.39229327607255,26.924867563615173,0.11729908122698912,49.71696399152279,-40.3766554758746
source_ridge_forced_identity,test,C4-CO_mid_125_175,corrected_ppm,102,126.34968660217385,124.49020184326433,0.5615541626763283,-124.49020184326433,150.0,93.87064238452332,99.3572972835983,0.41720285504232596,96.85686230659483,-129.34181159659954
source_ridge_forced_identity,test,C4-CO_high_200_250,corrected_ppm,102,193.9134210693979,191.4934994183641,0.8618374269751019,-191.4934994183641,227.0881921525532,98.59837818620305,139.47840940180726,0.43821501416090247,-6.716034919261034,-157.82674559237688
source_ridge_forced_identity,test,C4-nonCO,corrected_ppm,1020,68.91826046227641,53.50935035002261,0.41040079549984154,53.00799837876555,125.0,55.429356207160446,45.20153639153858,0.31178591343329454,105.88028978556395,52.50540115096338
source_ridge_forced_identity,test,C5,corrected_ppm,1360,54.69915190037531,37.50660187133808,0.4226958683981186,-26.293198474643017,87.5,19.11245274433866,20.830357401714913,0.19547566984429948,47.97699771821498,-24.47140649711385
source_ridge_forced_identity,test,C5-CO,corrected_ppm,340,46.90557519279535,32.51499188036943,0.20846922307909044,-9.276681288714833,77.69682486747355,0.7900934492631677,-0.3580671706323457,0.0035115264411696434,9.703657228694851,-1.8024855594311076
source_ridge_forced_identity,test,C5-CO_low_25_100,corrected_ppm,136,30.52101219426066,20.923304927074675,0.13564894308560296,3.1145327920811248,57.855189203809346,-2.1970469245116355,-2.6246001024625905,-0.00976465299782947,8.864812537621106,-2.733750448463102
source_ridge_forced_identity,test,C5-CO_mid_125_175,corrected_ppm,102,46.193869948561414,36.08869069682735,0.20530608866027295,4.253164086589951,87.53534514622454,0.7954339631878398,0.19051772914360754,0.0035352620586125982,12.020138093993694,-3.1573536327469256
source_ridge_forced_identity,test,C5-CO_high_200_250,corrected_ppm,102,62.9115258060798,44.396875668304496,0.27960678136035466,-39.328145438414225,83.96713088827217,2.9075342037750076,2.1153918386986845,0.012922374239,-1.8511543832532453,0.794069032594038
source_ridge_forced_identity,test,C5-nonCO,corrected_ppm,1020,57.060949549040245,39.17047186832763,0.4730143661215654,-31.96537086995241,88.75000000000028,25.76124257037462,27.89316559249734,0.2388431914706091,70.16948956996231,-32.027713476341425
source_ridge_forced_identity,test,nonCO_ALL,corrected_ppm,4050,52.7672225621325,37.653261120798426,0.3850994198107063,3.72814606728451,87.5,33.764325074384594,28.824012592694395,0.24133882704527904,68.89377556741238,3.438163112239719
source_ridge_forced_piecewise_ridge,test,ALL,corrected_ppm,5400,23.565336073428977,8.454671155121039,0.15013597776367033,-0.6531973850959135,15.540520958886757,-3.770935933181356,-4.5442225220464945,-0.007697717530819187,-12.298707775487292,0.11082346559522882
source_ridge_forced_piecewise_ridge,test,C3,corrected_ppm,2680,14.762095808393687,6.2412141884210985,0.10807555257529401,0.08650904458080266,11.753940528301024,-4.923785267991173,-4.861462396866456,-0.0026894862816019827,-12.543299997183054,-0.04971159262464686
source_ridge_forced_piecewise_ridge,test,C3-CO,corrected_ppm,670,17.038282687127218,8.056372992816131,0.07572570083167653,-1.6120246836296288,15.351932020221838,-16.662542634861484,-12.799655885915078,-0.07405574504382882,-26.912872223819605,-1.2640828487851745
source_ridge_forced_piecewise_ridge,test,C3-CO_low_25_100,corrected_ppm,268,8.471735210760238,4.443019460143453,0.03765215649226771,0.19638683315586764,10.60954566860104,-16.598904298216176,-12.290653750816052,-0.0737729079920719,-19.25176479107237,-2.3369028997890613
source_ridge_forced_piecewise_ridge,test,C3-CO_mid_125_175,corrected_ppm,201,20.33704071710942,10.185183547882362,0.0903868476315974,1.2904986203341322,15.387056164774322,-14.433771231580916,-13.387091280122979,-0.06415009436258187,-40.40679842945633,-2.4070333423682433
source_ridge_forced_piecewise_ridge,test,C3-CO_high_200_250,corrected_ppm,201,21.40999691695099,10.745367147980133,0.09515554185311552,-6.925763343307385,22.694728192626116,-20.288445586185713,-12.890890005172544,-0.09017086927193645,-20.2062155634774,1.3092943794697431
source_ridge_forced_piecewise_ridge,test,C3-nonCO,corrected_ppm,2010,13.920905306987265,5.636161253622756,0.11688586810983893,0.6526869539842798,10.410372385700725,2.168032925719851,-2.2153979005169138,0.022650181657692475,-7.575738659183013,0.355078826095529
source_ridge_forced_piecewise_ridge,test,C4,corrected_ppm,1360,26.018800267151462,9.155583930080441,0.12773196860653532,-2.33344369550039,17.626445364465784,-4.592072955385333,-3.902622047453777,-0.024278736776432303,-9.527065906414915,-0.853188686674577
source_ridge_forced_piecewise_ridge,test,C4-CO,corrected_ppm,340,48.353722232129904,19.896689939980156,0.21490543214279956,-8.405236894466382,29.081785083542737,-8.234709657911232,-7.412692094704649,-0.036598709590716594,-22.26397454666056,-0.9764251757566154
source_ridge_forced_piecewise_ridge,test,C4-CO_low_25_100,corrected_ppm,136,9.704352484156617,6.66066877558003,0.04313045548514052,5.047378544128585,16.603853710021802,-10.314195779804292,-3.751790378964806,-0.04584087013246352,-8.679182298455409,2.0080497864139955
source_ridge_forced_piecewise_ridge,test,C4-CO_mid_125_175,corrected_ppm,102,17.168644769362988,13.477183764142557,0.07630508786383551,2.1940438077502136,31.852067723739918,-15.310399448287537,-11.655720795523477,-0.06804621977016682,-21.291069969665248,-2.65756594558501
source_ridge_forced_piecewise_ridge,test,C4-CO_high_200_250,corrected_ppm,102,85.86780463561996,43.96422433501791,0.381634687269422,-36.941338181476276,208.25131933589418,-9.447238247574901,-8.050865681538959,-0.04198772554477742,-25.55290773592006,-3.27458435548904
source_ridge_forced_piecewise_ridge,test,C4-nonCO,corrected_ppm,1020,11.102993825476537,5.575215260113868,0.0797443382565397,-0.3095126291783918,13.197845332456362,-2.3859104296394236,-2.732598698370154,-0.018870543810007315,-5.921864881979692,-0.8121098569805631
source_ridge_forced_piecewise_ridge,test,C5,corrected_ppm,1360,33.14452670486922,12.115570638070345,0.22398150651824908,-0.43060786258378964,27.148789412135162,-2.44217245116743,-4.560673831552819,-0.003238692035570062,-12.374212869649856,1.3911841149453779
source_ridge_forced_piecewise_ridge,test,C5-CO,corrected_ppm,340,31.14126399447573,21.22498336907003,0.13840561775322546,-4.01060423256211,46.515367653201665,-14.97421774905645,-11.648075681931743,-0.06655207888469533,-21.477799985577036,3.463591496721616
source_ridge_forced_piecewise_ridge,test,C5-CO_low_25_100,corrected_ppm,136,23.414872979380544,16.058777493469755,0.1040661021305802,3.4503174185736665,37.5,-9.303186139391752,-7.48912753606751,-0.04134749395285224,-11.49037666618824,-2.39796582197056
source_ridge_forced_piecewise_ridge,test,C5-CO_mid_125_175,corrected_ppm,102,31.8581591935905,22.488032504410402,0.14159181863818,4.75566984486293,49.40377599633201,-13.540276791783075,-13.41014046327334,-0.06017900796348036,-26.11143105589884,-2.6548478744739468
source_ridge_forced_piecewise_ridge,test,C5-CO_high_200_250,corrected_ppm,102,38.5570192639496,26.85020873453003,0.1713645300619982,-22.724773844834846,47.67950644707454,-21.446972338355195,-15.43127509507578,-0.09531987705935646,-38.138778824450874,17.397440626173417
source_ridge_forced_piecewise_ridge,test,C5-nonCO,corrected_ppm,1020,33.78589586787917,9.079099727737116,0.24597746917355787,0.762724260742317,9.800149063753265,2.486188889213544,-2.198206548093177,0.011806294522601568,-8.780361366284717,0.7003816543532985
source_ridge_forced_piecewise_ridge,test,nonCO_ALL,corrected_ppm,4050,20.36445475829855,6.487922322812282,0.15368927423536397,0.438068306593483,10.901058218339148,1.361557270550641,-2.341326205291751,0.009928681469936723,-7.705166214248472,0.14808535154869218
source_ridge_forced_ridge_phase,test,ALL,corrected_ppm,5400,22.913806654530504,7.625558661120144,0.14918412731336939,-0.47274155991098116,13.998774024700095,-4.422465352079829,-5.373335016047389,-0.008649567981120126,-13.840454709673955,0.2912792907801612
source_ridge_forced_ridge_phase,test,C3,corrected_ppm,2680,13.713208491079705,5.778362108939104,0.10343618198564541,0.0005971837735106205,11.122303175292764,-5.972672585305155,-5.32431447634845,-0.00732885687125058,-13.174937350191314,-0.1356234534319389
source_ridge_forced_ridge_phase,test,C3-CO,corrected_ppm,670,15.532035303771126,8.414932286908225,0.06903126801676056,-1.1948838944142095,16.406890012097165,-18.168790018217578,-12.441096591822983,-0.08075017785874479,-25.857914231944278,-0.8469420595697552
source_ridge_forced_ridge_phase,test,C3-CO_low_25_100,corrected_ppm,268,7.038611622109748,4.979287931785834,0.03128271832048777,1.089411501339402,11.141645536626227,-18.032027886866665,-11.754385279173672,-0.08014234616385185,-18.719664923047183,-1.4438782316055272
