experiment,scope,group_level,group_value,N,RMSE,MAE,Bias,R2,formal_RMSE_abs_difference
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:25,34,4.501605587225602,2.8452315768086405,-1.0689756237572927,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:37.5,34,5.830167581996368,3.9950967399747603,-1.7057494932942112,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:50,34,4.209829851995988,3.146677552603584,0.4923180829827253,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:62.5,34,7.280225072527217,4.879683587212149,-0.563847275982437,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:75,34,5.031265154553653,3.5460648203840592,0.09476587602189777,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:87.5,28,12.023984569808789,7.845429764044509,-0.10811263985181999,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:100,34,4.618395430944663,3.257638507223756,-1.6794746411449812,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:112.5,34,10.218343618196966,6.639871907064881,-3.4067472359884485,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:125,34,7.482624760173277,5.132212272390201,-5.132212272390201,nan,
A_OLD_CKPT_OLD_DATA,S_CC,gas,Methane,339,13.305609786188956,6.581585167765187,1.3146044908497914,0.9656154927312719,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:25,34,5.993437485679195,4.0200181312697225,4.0200181312697225,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:50,33,8.299896398455244,5.556616890536594,-1.8432136500414533,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:75,34,6.619837217856935,5.268010606505185,-0.2164757733850744,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:100,34,13.849682957120615,6.074164342628458,3.857544849539995,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:125,34,30.83552922233517,12.138789403389449,10.290398191721472,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:150,34,5.577645706829292,4.496281790485252,2.8694513263483143,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Methane:175,34,7.224687651820978,4.700373538967992,-0.28173505185061243,nan,
