record_type,step,threshold,batch_size,selected_count,coverage,mean_confidence_all,mean_confidence_selected,pseudo_class_0,pseudo_class_1,pseudo_class_2,pseudo_class_3,pseudo_ce,teacher_policy,pseudo_label_origin,target_label_object_present,posthoc_precision
training_step,72,0.9,32,31,0.96875,0.9935682415962219,0.9966722130775452,4,0,10,17,0.005364862736314535,frozen_source_round25,teacher_argmax_only,False,
training_step,73,0.9,32,32,1.0,0.9948980212211609,0.9948980212211609,2,0,12,18,0.055346786975860596,frozen_source_round25,teacher_argmax_only,False,
training_step,74,0.9,32,30,0.9375,0.9823788404464722,0.9962875247001648,1,0,7,22,0.001871568732894957,frozen_source_round25,teacher_argmax_only,False,
training_step,75,0.9,32,32,1.0,0.993532657623291,0.993532657623291,1,0,10,21,0.05955806374549866,frozen_source_round25,teacher_argmax_only,False,
training_step,76,0.9,32,31,0.96875,0.9804959893226624,0.99460768699646,0,0,15,16,0.0024383377749472857,frozen_source_round25,teacher_argmax_only,False,
training_step,77,0.9,32,31,0.96875,0.9916817545890808,0.9971573352813721,0,0,16,15,0.0029507256112992764,frozen_source_round25,teacher_argmax_only,False,
training_step,78,0.9,32,31,0.96875,0.9891471266746521,0.9961957335472107,0,0,11,20,0.0022773765958845615,frozen_source_round25,teacher_argmax_only,False,
training_step,79,0.9,32,30,0.9375,0.9765754342079163,0.9970823526382446,2,1,11,16,0.043093010783195496,frozen_source_round25,teacher_argmax_only,False,
training_step,80,0.9,32,31,0.96875,0.9926576018333435,0.9973496198654175,2,1,8,20,0.004172527231276035,frozen_source_round25,teacher_argmax_only,False,
training_step,81,0.9,32,29,0.90625,0.9612995386123657,0.9958829283714294,2,1,12,14,0.09309595078229904,frozen_source_round25,teacher_argmax_only,False,
training_step,82,0.9,32,31,0.96875,0.9922801852226257,0.9977748990058899,1,0,14,16,0.0028835490811616182,frozen_source_round25,teacher_argmax_only,False,
training_step,83,0.9,32,29,0.90625,0.9720235466957092,0.9957076907157898,0,0,16,13,0.0032691864762455225,frozen_source_round25,teacher_argmax_only,False,
training_step,84,0.9,32,31,0.96875,0.9934552311897278,0.9981729388237,3,0,11,17,0.0030871168710291386,frozen_source_round25,teacher_argmax_only,False,
training_step,85,0.9,32,31,0.96875,0.9898477792739868,0.995406985282898,1,0,9,21,0.0019819338340312243,frozen_source_round25,teacher_argmax_only,False,
training_step,86,0.9,32,31,0.96875,0.9901644587516785,0.9972459077835083,1,0,9,21,0.004050258081406355,frozen_source_round25,teacher_argmax_only,False,
training_step,87,0.9,32,32,1.0,0.9956706762313843,0.9956706762313843,2,0,9,21,0.17204880714416504,frozen_source_round25,teacher_argmax_only,False,
training_step,88,0.9,32,32,1.0,0.996924877166748,0.996924877166748,1,0,6,25,0.0363369844853878,frozen_source_round25,teacher_argmax_only,False,
training_step,89,0.9,32,32,1.0,0.9902311563491821,0.9902311563491821,1,0,11,20,0.006735778879374266,frozen_source_round25,teacher_argmax_only,False,
training_step,90,0.9,32,31,0.96875,0.9940211772918701,0.9971397519111633,1,1,13,16,0.0041731009259819984,frozen_source_round25,teacher_argmax_only,False,
training_step,91,0.9,32,30,0.9375,0.9813306927680969,0.9966733455657959,0,1,13,16,0.0041071344166994095,frozen_source_round25,teacher_argmax_only,False,
training_step,92,0.9,32,31,0.96875,0.9819252490997314,0.9974308609962463,0,0,11,20,0.0028242964763194323,frozen_source_round25,teacher_argmax_only,False,
training_step,93,0.9,32,30,0.9375,0.9787551760673523,0.9985062479972839,1,0,11,18,0.002112901769578457,frozen_source_round25,teacher_argmax_only,False,
training_step,94,0.9,32,31,0.96875,0.9885523915290833,0.9968934655189514,0,0,13,18,0.009468981996178627,frozen_source_round25,teacher_argmax_only,False,
training_step,95,0.9,32,31,0.96875,0.9859825372695923,0.9929291009902954,3,0,10,18,0.0030099106952548027,frozen_source_round25,teacher_argmax_only,False,
training_step,96,0.9,32,31,0.96875,0.9906340837478638,0.9955996870994568,2,0,9,20,0.00226907548494637,frozen_source_round25,teacher_argmax_only,False,
training_step,97,0.9,32,32,1.0,0.9972912073135376,0.9972912073135376,2,1,9,20,0.0023835739120841026,frozen_source_round25,teacher_argmax_only,False,
training_step,98,0.9,32,30,0.9375,0.9876839518547058,0.9954822063446045,0,0,14,16,0.0036855002399533987,frozen_source_round25,teacher_argmax_only,False,
training_step,99,0.9,32,31,0.96875,0.9908663630485535,0.9964584112167358,3,0,10,18,0.0030274284072220325,frozen_source_round25,teacher_argmax_only,False,
training_step,100,0.9,32,32,1.0,0.992897093296051,0.992897093296051,2,0,10,20,0.07318906486034393,frozen_source_round25,teacher_argmax_only,False,
posthoc_truth_audit,,0.9,320,309,0.965625,0.9875918727368116,0.996001754378038,13,2,110,184,,frozen_source_round25,teacher_argmax_only,posthoc_truth_only,0.3559870550161812
