preprocessing,client,gas,true_ppm,N,Oracle_RMSE,MAE,Bias,R2
legacy,C5,CO,25.0,34,2.7907920349248903,1.0958153145755465,1.0958153145755465,nan
legacy,C5,CO,50.0,34,11.37584900217162,9.080241152144144,-0.729509008745114,nan
legacy,C5,CO,75.0,34,15.438474371285626,11.274433644839528,4.650180541878422,nan
legacy,C5,CO,100.0,34,15.708313637671584,12.33070161121937,10.727791310733577,nan
legacy,C5,CO,125.0,34,15.336311580958156,11.512664724352042,7.138880191967533,nan
legacy,C5,CO,150.0,34,22.859224583961296,17.699059990074915,13.5576852692352,nan
legacy,C5,CO,175.0,34,16.087437086433972,11.195225317219947,1.3544684325450234,nan
legacy,C5,CO,200.0,34,14.086793941715023,10.892625809875554,-4.362798841832807,nan
legacy,C5,CO,225.0,34,21.22862751518934,17.2331940582897,-15.707578478040364,nan
legacy,C5,CO,250.0,34,24.586471804500807,17.16643944562192,-17.16643944562192,nan
legacy,C5,Ethanol,12.5,34,1.4134652299672326,0.504987901741697,0.504987901741697,nan
legacy,C5,Ethanol,25.0,34,4.821619836041981,2.9984158276047284,1.608437608611642,nan
legacy,C5,Ethanol,37.5,34,21.69198112407289,9.784127108313946,9.28057512502395,nan
legacy,C5,Ethanol,50.0,34,5.5731903671476495,4.111914944877301,3.3706774837157183,nan
legacy,C5,Ethanol,62.5,34,6.060220219059106,3.978035587028582,2.6583325099924973,nan
legacy,C5,Ethanol,75.0,34,8.628986846501896,7.151340275786768,-4.127930186163169,nan
legacy,C5,Ethanol,87.5,34,7.950157735751566,5.5620971439480815,3.400661086819571,nan
legacy,C5,Ethanol,100.0,34,6.052102186959002,4.176541582255448,-0.5883885349756651,nan
legacy,C5,Ethanol,112.5,34,6.24867129219084,5.2766091136305935,-3.5350477074827715,nan
legacy,C5,Ethanol,125.0,34,7.444215590286025,3.808431969854571,-3.808431969854571,nan
legacy,C5,Ethylene,12.5,34,2.316963391256418,1.526262748025217,1.526262748025217,nan
legacy,C5,Ethylene,25.0,34,8.521503535374027,8.050930906709988,8.050930906709988,nan
legacy,C5,Ethylene,37.5,34,6.656743004822367,5.682119812307152,5.682119812307152,nan
legacy,C5,Ethylene,50.0,34,8.009084466690815,6.176298875003556,5.599168942504044,nan
legacy,C5,Ethylene,62.5,34,7.519359306444282,6.097570866216047,3.9694442560576095,nan
legacy,C5,Ethylene,75.0,34,6.53927404082436,5.124763385654866,5.094067612091834,nan
legacy,C5,Ethylene,87.5,34,23.55997260062461,14.012720824799786,-0.8787506829491463,nan
legacy,C5,Ethylene,100.0,34,4.762822207652558,3.094011042178914,-0.37927990032373105,nan
legacy,C5,Ethylene,112.5,34,10.202360700859487,9.504088911691959,-8.658707635949701,nan
legacy,C5,Ethylene,125.0,34,6.762183531106868,4.880165433408701,-4.880165433408701,nan
legacy,C5,Methane,25.0,34,8.95564419571452,6.80169142357922,6.80169142357922,nan
legacy,C5,Methane,50.0,34,10.93972364612015,7.006099899458043,-0.03814324468112192,nan
legacy,C5,Methane,75.0,34,9.259500747504505,6.856284167157817,-2.5158451447691537,nan
legacy,C5,Methane,100.0,34,7.681332548984654,4.547523148321447,0.775657467219304,nan
legacy,C5,Methane,125.0,34,31.20152716658318,12.836114258774003,10.1595232580794,nan
legacy,C5,Methane,150.0,34,10.167808430219115,6.995381648704812,1.8674650002662319,nan
legacy,C5,Methane,175.0,34,11.722165654936447,6.871869930510622,1.2702893290301915,nan
legacy,C5,Methane,200.0,34,14.675438989823412,10.446025597325509,-1.8495614973868777,nan
legacy,C5,Methane,225.0,34,14.091432903607267,10.930696101381,-0.8729194904129225,nan
legacy,C5,Methane,250.0,34,9.501718046752194,5.926026240999525,-5.926026240999525,nan
timebin,C3,CO,25.0,67,2.9446284484660774,1.2527042126801011,1.2527042126801011,nan
timebin,C3,CO,50.0,67,8.181198750045029,6.961576919696872,-2.4764005735344665,nan
timebin,C3,CO,75.0,66,7.60417763090924,5.20927827773434,-0.803674744161625,nan
timebin,C3,CO,100.0,65,8.8275567890982,5.737281523052568,-0.09428215939523542,nan
timebin,C3,CO,125.0,65,13.049475342446165,10.329301308639604,7.386437720687016,nan
timebin,C3,CO,150.0,67,15.950507838764706,10.029245810117095,2.35421087462339,nan
timebin,C3,CO,175.0,67,18.96412247284978,12.253294404111157,-0.20416775063701167,nan
timebin,C3,CO,200.0,64,25.282724680409093,14.002613523443198,-5.043328275790691,nan
timebin,C3,CO,225.0,67,19.551492227981683,12.156096553443906,-9.334363045881771,nan
timebin,C3,CO,250.0,67,21.92648227746956,7.279121743223125,-7.279121743223125,nan
timebin,C3,Ethanol,12.5,61,1.8203645215667639,0.3483174124105442,0.3483174124105442,nan
timebin,C3,Ethanol,25.0,67,4.371861683435964,3.5317983116808165,0.3516596420489637,nan
timebin,C3,Ethanol,37.5,67,5.592099796346474,4.502532243426214,3.9522611702023527,nan
timebin,C3,Ethanol,50.0,67,6.848306428204231,6.032330786505829,6.0031855367560105,nan
timebin,C3,Ethanol,62.5,67,6.197387825853337,5.3726932231681905,5.178895479980369,nan
timebin,C3,Ethanol,75.0,62,5.341373659008661,4.280780077389573,4.021844122246552,nan
timebin,C3,Ethanol,87.5,67,5.500042808548202,4.598347586389594,2.4062367505747737,nan
timebin,C3,Ethanol,100.0,64,5.241413764889016,4.378032893193611,0.945491526959706,nan
timebin,C3,Ethanol,112.5,67,8.083296780217626,6.874855812059218,-6.5212710324150045,nan
timebin,C3,Ethanol,125.0,62,9.20591609712432,7.8231255017577155,-7.8231255017577155,nan
timebin,C3,Ethylene,12.5,67,2.3336560385239156,0.6530637449489245,0.6530637449489245,nan
timebin,C3,Ethylene,25.0,67,5.1094267888932645,3.756125417559996,2.178144028975367,nan
timebin,C3,Ethylene,37.5,67,4.481438115778621,3.5501658350674976,2.8440085137361613,nan
