method,target_coverage,threshold,calibration_retained_N,accepted_N,test_N,actual_coverage,target_test_used_for_selection,curve_rule,N,RMSE,MAE,NRMSE_range,Bias,R2,misroute_events,misroute_capture_rate,misroute_accepted_rate,error_ge_40ppm_events,error_ge_40ppm_capture_rate,error_ge_40ppm_accepted_rate,top5pct_error_events,top5pct_error_capture_rate,top5pct_error_accepted_rate,methane225_repeat1_events,methane225_repeat1_capture_rate,methane225_repeat1_accepted_rate,RMSE_p025,RMSE_p975,MAE_p025,MAE_p975,NRMSE_range_p025,NRMSE_range_p975
Q2_regression_disagreement,0.65,0.2684366762178604,,884,1360,0.65,False,rank_deployment_visible_risk_then_retain_exact_count,884,27.65257663693093,8.174822637778039,0.22620903372148116,2.6543509999417463,0.7643563518987192,32,0.34375,0.023755656108597284,48,0.6666666666666666,0.01809954751131222,68,0.6470588235294118,0.027149321266968326,17,0.5882352941176471,0.007918552036199095,,,,,,
Q2_regression_disagreement,0.7,0.3636053942851247,,952,1360,0.7,False,rank_deployment_visible_risk_then_retain_exact_count,952,26.80839022553841,8.15988495534963,0.21853604597847062,2.5186848930036083,0.7777950940126478,32,0.34375,0.022058823529411766,48,0.6458333333333334,0.017857142857142856,68,0.6323529411764706,0.026260504201680673,17,0.5882352941176471,0.007352941176470588,,,,,,
Q2_regression_disagreement,0.75,0.5174859915425,,1020,1360,0.75,False,rank_deployment_visible_risk_then_retain_exact_count,1020,26.05526253446971,8.12311048686704,0.21160637875666216,2.3547809220120137,0.7995062336535371,32,0.34375,0.020588235294117647,48,0.625,0.01764705882352941,68,0.6176470588235294,0.025490196078431372,17,0.5294117647058824,0.00784313725490196,,,,,,
Q2_regression_disagreement,0.8,0.8636159926281528,,1088,1360,0.8,False,rank_deployment_visible_risk_then_retain_exact_count,1088,25.545853439613342,8.291898305138128,0.20566382694645477,2.339357726601233,0.8231420002264653,32,0.3125,0.02022058823529412,48,0.5625,0.019301470588235295,68,0.5294117647058824,0.029411764705882353,17,0.4117647058823529,0.009191176470588236,,,,,,
Q2_regression_disagreement,0.85,1.0,,1156,1360,0.85,False,rank_deployment_visible_risk_then_retain_exact_count,1156,25.169647086790665,8.62147229254032,0.200488018871266,2.4328264162565696,0.8241435471146323,32,0.28125,0.019896193771626297,48,0.4791666666666667,0.02162629757785467,68,0.45588235294117646,0.03200692041522491,17,0.35294117647058826,0.009515570934256055,,,,,,
Q2_regression_disagreement,0.9,1.0,,1224,1360,0.9,False,rank_deployment_visible_risk_then_retain_exact_count,1224,24.992252118562707,9.0791805271569,0.19616779628053904,2.7343949831573022,0.8219584297433672,32,0.25,0.0196078431372549,48,0.3541666666666667,0.025326797385620915,68,0.3235294117647059,0.03758169934640523,17,0.35294117647058826,0.008986928104575163,,,,,,
Q2_regression_disagreement,0.95,1.0,,1292,1360,0.95,False,rank_deployment_visible_risk_then_retain_exact_count,1292,25.087372296267606,9.39985895272179,0.19287278587703713,2.4025634109144463,0.843142097506415,32,0.21875,0.01934984520123839,48,0.2916666666666667,0.02631578947368421,68,0.2647058823529412,0.03869969040247678,17,0.35294117647058826,0.008513931888544891,,,,,,
Q2_regression_disagreement,0.975,1.0,,1326,1360,0.975,False,rank_deployment_visible_risk_then_retain_exact_count,1326,25.22643978188418,9.649746550491363,0.19374044752169692,2.352697008749848,0.8496360325218318,32,0.1875,0.0196078431372549,48,0.25,0.027149321266968326,68,0.19117647058823528,0.04147812971342383,17,0.35294117647058826,0.008295625942684766,,,,,,
Q2_regression_disagreement,1.0,inf,,1360,1360,1.0,False,rank_deployment_visible_risk_then_retain_exact_count,1360,28.057496229689647,10.691170586712394,0.19972727686326158,1.1670805278582432,0.821260210875533,32,0.0,0.023529411764705882,48,0.0,0.03529411764705882,68,0.0,0.05,17,0.0,0.0125,,,,,,
Q3_equal_mean,0.5,0.3598065754744113,,680,1360,0.5,False,rank_deployment_visible_risk_then_retain_exact_count,680,26.735877628013064,9.853410179283813,0.22456267973060925,3.5964950389535155,0.8470561976622986,32,0.71875,0.013235294117647059,48,0.6666666666666666,0.023529411764705882,68,0.6911764705882353,0.030882352941176472,17,0.7058823529411765,0.007352941176470588,,,,,,
