experiment_id,method,target,scope,class_id,gas,seed,N,RMSE,MAE,NRMSE_range,R2,Bias,A4_minus_A0T_RMSE,unit,calculation_status
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_CC,0,Ethanol,42,338,3.7744900938925583,2.62813230390433,0.03355102305682273,0.9888510412421049,0.3011257823977986,2.5970222394639957,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_CC,1,CO,42,335,16.11078594393585,11.988647803518788,0.07160349308415934,0.9486946024077384,1.898589142465839,0.0734804371956308,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_CC,2,Ethylene,42,340,2.8999228482317982,2.1188311648617777,0.02577709198428265,0.9934762259194594,-0.3872797846360464,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,S_CC,3,Methane,42,340,10.471766892368139,7.379877753596057,0.04654118618830284,0.9787330129749144,1.346008435053487,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_ALL,0,Ethanol,42,340,8.814818978386352,3.2217519701278787,0.07835394647454536,0.9397228345237565,-0.30972481374517463,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_ALL,1,CO,42,340,16.302309178051505,12.112107627700944,0.0724547074580067,0.9484576417868058,1.5911673446414631,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_ALL,2,Ethylene,42,340,2.8999228482317982,2.1188311648617777,0.02577709198428265,0.9934762259194594,-0.3872797846360464,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_ALL,3,Methane,42,340,10.471766892368139,7.379877753596057,0.04654118618830284,0.9787330129749144,1.346008435053487,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_CC,0,Ethanol,42,338,3.7744900938925583,2.62813230390433,0.03355102305682273,0.9888510412421049,0.3011257823977986,2.5970222394639957,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_CC,1,CO,42,335,16.11078594393585,11.988647803518788,0.07160349308415934,0.9486946024077384,1.898589142465839,0.0734804371956308,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_CC,2,Ethylene,42,340,2.8999228482317982,2.1188311648617777,0.02577709198428265,0.9934762259194594,-0.3872797846360464,0.0,ppm,recomputed
CAN-V1-REG-A0T-C4-S42,A0T,C4,Oracle_CC,3,Methane,42,340,10.471766892368139,7.379877753596057,0.04654118618830284,0.9787330129749144,1.346008435053487,0.0,ppm,recomputed
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_ALL,0,Ethanol,42,340,26.196122537865882,5.8767226117709,0.23285442255880784,0.4676465756944408,2.759872592539016,-15.623372855816756,ppm,recomputed
CAN-V1-REG-A0T-C5-S42,A0T,C5,S_ALL,1,CO,42,340,19.900130025319633,13.634195693752318,0.08844502233475393,0.9231970569649206,1.0170424171762313,5.348841103312864,ppm,recomputed
