method,target,scope,workpoint,population,coverage,review_rate,reject_rate,N,RMSE,NRMSE_range,MAE,P90AE,Bias,R2
A4,C4,A4_C4,HC90,accepted+review,0.8742647058823529,0.04926470588235294,0.07647058823529412,1256,13.518430795347248,0.06375762192315039,6.129503091948023,15.419112059624993,0.6184501399986492,0.9592758137120219
A4,C4,A4_C4,HC90,reject,0.8742647058823529,0.04926470588235294,0.07647058823529412,104,16.91797667524995,0.10924170452564545,10.689194690114059,27.11619003745861,-2.4531247291730462,0.9155555596664756
A4,C4,A4_C4,HC95,accepted,0.9235294117647059,0.03161764705882353,0.04485294117647059,1256,13.518430795347246,0.06375762192315039,6.129503091948023,15.419112059624993,0.618450139998649,0.9592758137120219
A4,C4,A4_C4,HC95,accepted+review,0.9235294117647059,0.03161764705882353,0.04485294117647059,1299,13.522192483653829,0.06383076474472892,6.252010506951334,15.709372380908945,0.5626974078495235,0.9588054732389325
A4,C4,A4_C4,HC95,reject,0.9235294117647059,0.03161764705882353,0.04485294117647059,61,18.894170434292455,0.13146033677210903,11.29459807752127,27.11619003745861,-3.4310742424954874,0.9024700010363628
A4,C5,A4_C5,HC90,accepted,0.8066176470588236,0.041176470588235294,0.15220588235294116,1097,16.5075038403843,0.08953335362050428,7.6285272030632045,17.08359196344638,0.4619366955561704,0.9381297252609244
A4,C5,A4_C5,HC90,accepted+review,0.8066176470588236,0.041176470588235294,0.15220588235294116,1153,16.30884957422049,0.0882386262041206,7.587233859788808,16.73501237664604,0.34051311110155585,0.9390822285718656
A4,C5,A4_C5,HC90,reject,0.8066176470588236,0.041176470588235294,0.15220588235294116,207,27.593228767381508,0.12443644437786801,14.72558299529094,33.2362123962707,-2.4539418817406027,0.8278490968101919
A4,C5,A4_C5,HC95,accepted,0.8477941176470588,0.05220588235294118,0.1,1153,16.30884957422049,0.0882386262041206,7.587233859788808,16.73501237664604,0.340513111101556,0.9390822285718656
A4,C5,A4_C5,HC95,accepted+review,0.8477941176470588,0.05220588235294118,0.1,1224,15.995181797558866,0.08642923104770109,7.523954239418362,16.577122680452632,0.24621642410159267,0.9398849291758159
A4,C5,A4_C5,HC95,reject,0.8477941176470588,0.05220588235294118,0.1,136,33.334859198596504,0.1494918763486133,19.021737730247388,43.605373842235224,-3.0641415847100006,0.7932733198505117
