variant,prediction_key,input_dimension,class_id,gas,true_ppm,N,RMSE,MAE,R2,NRMSE
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,87.5,34,35.892210471611335,17.4012227322179,nan,0.31904187085876734
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,100.0,34,4.618395430944663,3.257638507223756,nan,0.04105240383061923
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,112.5,34,10.218343618196966,6.639871907064881,nan,0.0908297210506397
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,125.0,34,7.482624760173277,5.132212272390201,nan,0.06651222009042913
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,25.0,34,5.993437485679195,4.0200181312697225,nan,0.026637499936351977
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,50.0,34,8.265059100678712,5.599630793004789,nan,0.0367335960030165
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,75.0,34,6.619837217856935,5.268010606505185,nan,0.029421498746030818
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,100.0,34,13.849682957120615,6.074164342628458,nan,0.06155414647609163
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,125.0,34,22.16463486936057,8.462318815154154,nan,0.09850948830826921
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,150.0,34,5.577645706829292,4.496281790485252,nan,0.024789536474796856
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,175.0,34,7.224687651820978,4.700373538967992,nan,0.03210972289698212
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,200.0,34,14.094349308734728,8.313655466685617,nan,0.06264155248326544
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,225.0,34,10.208608867911082,8.202846571781159,nan,0.045371594968493696
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,250.0,34,9.474364770168364,7.014948809601612,nan,0.042108287867414954
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,12.5,34,17.93578959896382,5.815345165850089,nan,0.1594292408796784
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,25.0,34,8.70049411327407,4.959407831056108,nan,0.07733772545132507
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,37.5,34,19.16488789832077,9.588535633118438,nan,0.1703545590961846
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,50.0,34,6.227111077371684,4.035340713361144,nan,0.05535209846552608
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,62.5,34,8.650426499825793,5.541216803408659,nan,0.0768926799984515
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,75.0,34,7.71414497362187,6.065363473921966,nan,0.06857017754330551
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,87.5,34,8.03137099061515,5.264755966256127,nan,0.07138996436102354
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,100.0,34,6.832788704077411,5.578547907343731,nan,0.060735899591799224
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,112.5,34,6.160778078454571,4.45599393371176,nan,0.054762471808485085
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,0,Ethanol,125.0,34,4.964912227680895,2.7385312118709595,nan,0.044132553134941285
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,25.0,34,6.915172932101222,3.2828025915299395,nan,0.03073410192044988
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,50.0,34,15.514042174255291,12.73732184196787,nan,0.06895129855224573
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,75.0,34,18.767803863941854,15.090956984395993,nan,0.08341246161751935
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,100.0,34,14.916937922475652,11.197197849219407,nan,0.06629750187766957
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,125.0,34,12.80394560396851,9.379513030630097,nan,0.05690642490652672
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,150.0,34,13.390020315380468,10.91671624167859,nan,0.059511201401690965
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,1,CO,175.0,34,16.50180624978197,11.366729657783806,nan,0.07334136111014208
