replicate,sampled_file_count,sampled_window_count,a4_minus_a0t_rmse,a4_minus_a0t_mean_excess_squared_error
1405,80,1379,-1.0148390296373968,-47.90276881048126
1406,80,1359,-7.054193449662346,-317.2311923183181
1407,80,1358,-2.2642183591373346,-89.55453257903093
1408,80,1364,-7.054780392909528,-290.28704944171534
1409,80,1337,-2.6807055236026365,-110.05907827090493
1410,80,1339,-1.532241292122599,-53.78068696455331
1411,80,1367,-5.772918260148778,-284.4342024492129
1412,80,1359,-9.37747138355663,-377.67502659939794
1413,80,1359,-3.2552628978142906,-147.8316928539255
1414,80,1374,-1.6247700412065917,-73.44108298387843
1415,80,1353,-1.3251992161714892,-38.00351734707788
1416,80,1367,-5.203585073186886,-260.1805769764475
1417,80,1374,-6.0466724257417575,-216.74218470700703
1418,80,1341,-8.831845115157376,-358.15935130936725
1419,80,1366,-13.093352462677274,-633.2160217767516
1420,80,1355,-8.680511992507785,-401.285005778707
1421,80,1373,-8.710065391679242,-343.8231526165294
1422,80,1353,-3.5084889934741383,-171.0692541766934
1423,80,1361,0.4880513745921675,23.617624425928454
1424,80,1382,-3.5272395073298632,-141.22869480035064
1425,80,1346,1.5998035406390585,50.846065777181
1426,80,1380,1.3523150397223773,49.43287835522443
1427,80,1364,-4.664941723930639,-190.41873835424656
1428,80,1368,-0.050946440328715425,-2.4408878490883126
1429,80,1365,-3.2374545351983386,-132.18611548857132
1430,80,1367,-1.0114324242727513,-41.06987061494408
1431,80,1376,-2.4631230029894198,-88.60175168707639
1432,80,1378,1.174912002741479,35.08549774981224
1433,80,1367,-6.650280756977036,-266.4694898380084
1434,80,1348,-4.052176571246886,-192.95675194672737
1435,80,1348,-7.085061094707559,-312.72558709039447
1436,80,1366,-0.17399756831887458,-8.594016663132038
1437,80,1354,2.7835591843669434,98.80389435552028
1438,80,1365,-1.2734344498587156,-52.98311399399367
1439,80,1364,-2.690394826735652,-119.45043662958895
1440,80,1360,-3.915912273785576,-158.3551295841308
1441,80,1367,-9.564373103609555,-439.72501115615023
1442,80,1329,-10.505858149632582,-422.7088875642241
1443,80,1351,-1.4251084129136409,-63.40062168065967
1444,80,1335,4.305501068215159,138.05830629001426
1445,80,1348,-2.8704270736523334,-106.92238442627618
1446,80,1355,-2.4683441049172536,-106.75442225823917
1447,80,1379,-2.680522446678861,-93.65408254169527
1448,80,1355,-5.037330146075419,-231.48269919905346
1449,80,1385,-2.6284172025758465,-96.20869207300761
1450,80,1364,-4.147591601937265,-165.95595074426535
1451,80,1356,-10.635769421328906,-482.61364546858545
1452,80,1344,-10.4462605044856,-462.03396315582285
1453,80,1358,-7.906526191085657,-385.1261051047446
1454,80,1339,-6.431885528285431,-306.704457278183
1455,80,1381,1.0851851338328053,45.80297599500658
1456,80,1350,2.400732470953937,87.36151678428419
1457,80,1377,2.449851112482399,81.18254339901439
1458,80,1368,-6.1992625654099065,-286.6574112292901
1459,80,1347,-8.833039056299345,-364.0633169811633
1460,80,1367,-3.8821466856539146,-153.8511182859949
1461,80,1362,-3.112497147035139,-155.66465290662984
1462,80,1354,-2.177777901362159,-81.78191990902457
1463,80,1355,-8.007011375574656,-396.5464327091719
1464,80,1369,-5.729363650099817,-217.73607605421682
1465,80,1357,-2.4617251130618136,-93.20194933628638
1466,80,1367,0.8483959144751338,34.94655265688546
1467,80,1352,-3.0817210124797043,-116.42710699126175
1468,80,1355,1.690853275840194,65.00053726252155
1469,80,1361,-6.160814993286838,-295.46497663748426
1470,80,1378,-5.051083924821736,-260.81596816769854
1471,80,1348,-6.702360240298443,-293.45621291871925
1472,80,1351,-4.341796821123349,-165.86646149533004
1473,80,1359,-1.218571069766739,-54.73306039360128
1474,80,1361,-4.937965721953486,-193.5762931436273
1475,80,1367,0.6781833151748415,24.306622786943095
1476,80,1374,-4.150540331811165,-160.66943643857064
1477,80,1365,-0.9976935655196542,-37.91986597371664
1478,80,1360,-8.956831379551165,-415.4895258956595
1479,80,1352,-2.271242872537833,-97.14938143814496
1480,80,1360,-6.186092369336997,-298.45486892947287
1481,80,1351,-6.966797317261907,-271.59929817874075
1482,80,1356,-0.8662532480580332,-34.286990901682
1483,80,1367,-2.2668135460505567,-94.46970277824873
1484,80,1366,-1.1755245181891176,-47.76025685864249
1485,80,1353,-1.370545768860044,-53.655378294554936
1486,80,1355,-0.31087874097015344,-13.718787918296101
1487,80,1358,-3.8239304842102975,-149.6763763351555
1488,80,1362,-2.842720832576962,-107.70721491139233
1489,80,1351,-5.758003905141091,-269.6845187572626
1490,80,1378,0.7153011631175801,34.44607842859918
1491,80,1354,1.3277571384269145,52.925611062131225
1492,80,1375,-3.355011749769119,-123.1597732805752
1493,80,1358,-4.484559318280699,-213.99246980819896
1494,80,1339,-9.498561507098426,-398.8777759113819
1495,80,1375,-5.423626710482253,-230.12127139273952
1496,80,1353,-3.8242153963861547,-145.89124187937352
1497,80,1366,1.439384310952832,50.25158414095617
1498,80,1347,-6.9365662844115725,-280.23843266727283
1499,80,1366,-9.468745206217331,-379.39351682191057
1500,80,1368,-3.5787894280670827,-154.3342298133083
1501,80,1369,-3.733517109052059,-135.6378695621072
1502,80,1361,-7.027021808279709,-313.7445734893431
1503,80,1380,3.242348540029578,116.68777034500714
1504,80,1360,-0.8026885325121498,-35.78627723177539
1505,80,1367,-1.3011557131389964,-56.500479482093795
1506,80,1364,-0.9021869206038211,-34.16815744968278
1507,80,1348,-2.1176964076616116,-80.5998907903404
1508,80,1357,-4.405826568986324,-153.70926335998743
1509,80,1348,-4.002321157058244,-144.94627465894047
1510,80,1326,-4.885934431837956,-218.8308267973325
1511,80,1342,-0.2230087175685611,-9.476466326820798
1512,80,1373,-6.721962306348992,-277.0196477673749
1513,80,1365,-2.9653167328092422,-111.58777240275899
1514,80,1355,-4.804884193488718,-200.91770951285906
1515,80,1366,-10.963009462914368,-500.22163613716265
1516,80,1359,-6.098647869604429,-230.70438782784285
1517,80,1361,-3.010083454800986,-96.30629033694478
1518,80,1363,-0.4481949108162695,-15.45790910650156
1519,80,1373,-3.1234572025351497,-150.52971980740168
1520,80,1351,-4.808040403411987,-198.21583509692897
1521,80,1360,-4.042970145055552,-178.0041156642596
1522,80,1364,-1.9224967422281765,-85.70576961973597
1523,80,1377,-5.288412013748747,-223.73333028092162
1524,80,1368,-1.651384344121638,-56.9770306400155
1525,80,1363,-4.645993393623243,-171.4413338031012
1526,80,1374,1.6638347163090774,53.92853571764129
1527,80,1329,-5.739528394065463,-278.51442358061416
