policy,class_id,gas,true_ppm,N,RMSE,MAE,Bias
argmax,1,CO,200.0,34,34.471456919274125,20.504085485392597,-0.35472862358743135
cost,1,CO,200.0,34,33.71258230186488,20.347883853648767,-0.19852699184360578
argmax,1,CO,225.0,34,19.130640986744062,14.07082787513145,-6.846021741960668
cost,1,CO,225.0,34,33.47364465818777,17.142703050654966,-9.917896917484184
argmax,1,CO,250.0,34,20.39425079174972,12.666233938208588,-12.666233938208588
cost,1,CO,250.0,34,20.39425079174972,12.666233938208588,-12.666233938208588
argmax,2,Ethylene,12.5,34,70.55149344229768,21.138408627571195,21.138408627571195
cost,2,Ethylene,12.5,34,57.60647423681992,14.153114509924137,14.153114509924137
argmax,2,Ethylene,25.0,34,54.81860259459215,17.703622422579226,17.69956490661233
cost,2,Ethylene,25.0,34,38.93723927281608,11.085975363755693,11.081917847788802
argmax,2,Ethylene,37.5,34,36.76677288012771,10.208927731529611,9.885400969901756
cost,2,Ethylene,37.5,34,36.76677288012771,10.208927731529611,9.885400969901756
argmax,2,Ethylene,50.0,34,34.97685463750269,11.168616980920595,8.912192987387913
cost,2,Ethylene,50.0,34,34.97685463750269,11.168616980920595,8.912192987387913
argmax,2,Ethylene,62.5,34,32.958743873274564,11.337730724963254,9.219803759808174
cost,2,Ethylene,62.5,34,32.958743873274564,11.337730724963254,9.219803759808174
argmax,2,Ethylene,75.0,34,9.640027436414638,6.882361885845118,6.0027940029690985
cost,2,Ethylene,75.0,34,9.640027436414638,6.882361885845118,6.0027940029690985
argmax,2,Ethylene,87.5,34,6.904649794404422,4.42762094146096,-1.8449653422664842
cost,2,Ethylene,87.5,34,6.904649794404422,4.42762094146096,-1.8449653422664842
argmax,2,Ethylene,100.0,34,4.767782679321734,3.040099581694988,2.039544292236525
cost,2,Ethylene,100.0,34,4.767782679321734,3.040099581694988,2.039544292236525
argmax,2,Ethylene,112.5,34,7.660351057277615,6.634020430668907,-6.173778110350076
cost,2,Ethylene,112.5,34,7.660351057277615,6.634020430668907,-6.173778110350076
argmax,2,Ethylene,125.0,34,21.860117375214358,6.422915311971209,0.9300258644993796
cost,2,Ethylene,125.0,34,21.860117375214358,6.422915311971209,0.9300258644993796
argmax,3,Methane,25.0,34,17.018990906231952,13.031375071416118,13.031375071416118
cost,3,Methane,25.0,34,17.018990906231952,13.031375071416118,13.031375071416118
argmax,3,Methane,50.0,34,8.861275579161289,7.316020391476765,2.4327485826148822
cost,3,Methane,50.0,34,8.861275579161289,7.316020391476765,2.4327485826148822
argmax,3,Methane,75.0,34,8.48200247391311,5.778505390887039,-1.3491150792479485
cost,3,Methane,75.0,34,8.48200247391311,5.778505390887039,-1.3491150792479485
argmax,3,Methane,100.0,34,9.488537583741358,7.627878927986912,3.3047119638993903
cost,3,Methane,100.0,34,9.488537583741358,7.627878927986912,3.3047119638993903
argmax,3,Methane,125.0,34,14.787726145604916,11.228225733327996,1.1206086257058128
cost,3,Methane,125.0,34,14.787726145604916,11.228225733327996,1.1206086257058128
argmax,3,Methane,150.0,34,11.537733556650416,8.577332870737136,2.846229319117163
cost,3,Methane,150.0,34,11.537733556650416,8.577332870737136,2.846229319117163
argmax,3,Methane,175.0,34,15.72381345223586,9.831182005878242,-3.2195495774421325
cost,3,Methane,175.0,34,15.72381345223586,9.831182005878242,-3.2195495774421325
argmax,3,Methane,200.0,34,13.219691174451828,8.274647486539285,-1.0702647953736142
cost,3,Methane,200.0,34,13.219691174451828,8.274647486539285,-1.0702647953736142
argmax,3,Methane,225.0,34,87.247272730517,51.58265295855887,-42.92809737164838
