replicate,sampled_raw_file_count,sampled_window_count,cost_minus_argmax_rmse
253,80,1364,0.28120139387921483
254,80,1355,1.797559896579866
255,80,1374,-1.0875867965692017
256,80,1375,-0.244692256713833
257,80,1368,-1.4693133525356998
258,80,1371,1.297220225091067
259,80,1362,-2.8154725261201534
260,80,1338,-0.9594737573467533
261,80,1359,-1.960363792509277
262,80,1371,0.48462355280510394
263,80,1364,0.4149235590081979
264,80,1373,0.7868304027683273
265,80,1340,2.2515810216160084
266,80,1368,0.05238183708458166
267,80,1371,-2.110418886264352
268,80,1331,2.5777246902196715
269,80,1375,0.6907279469001253
270,80,1381,4.790172816110509
271,80,1348,-0.7853658679876787
272,80,1349,1.8849087817402825
273,80,1351,0.49584954012162186
274,80,1362,4.5859027882598085
275,80,1362,0.3364213564582528
276,80,1352,-1.4556395204180674
277,80,1348,4.3277219218826986
278,80,1359,0.03390502811950569
279,80,1365,0.6752290900226932
280,80,1351,-0.7856036356432625
281,80,1358,1.8993823911451315
282,80,1358,-1.6643497070720414
283,80,1347,-0.8148254784458366
284,80,1377,-2.3738653431459014
285,80,1386,1.7803020909970684
286,80,1355,0.0730871012898433
287,80,1357,0.46275695492424873
288,80,1349,2.9829125132760694
289,80,1365,0.9408214733503719
290,80,1356,2.454798431536606
291,80,1379,0.40989845720929097
292,80,1355,2.113591921992331
293,80,1368,-1.9635420607911556
294,80,1355,1.4081737598702126
295,80,1366,2.211813366172386
296,80,1365,-0.4658750599594299
297,80,1365,-0.7720801104515544
298,80,1356,-0.12530215860875416
299,80,1341,-0.0421982920839028
300,80,1391,-0.6522797158430862
301,80,1377,-1.6233851490004092
302,80,1368,-1.1309568724468129
303,80,1398,-1.5634719467112106
304,80,1372,0.8390443444042717
305,80,1341,1.5553366539704072
306,80,1370,2.516013519511059
307,80,1356,0.8027097356620949
308,80,1349,2.295396277744974
309,80,1397,0.541229817852205
310,80,1365,2.179077933168589
311,80,1347,2.316441649074129
312,80,1354,0.19639251682463765
313,80,1358,-0.263662436369799
314,80,1342,-1.1425376975443768
315,80,1355,-0.08147488867503938
316,80,1355,1.9066621040171086
317,80,1368,-1.1320184299974656
318,80,1363,1.0811347138530536
319,80,1349,2.878159229054287
320,80,1366,2.503889095959405
321,80,1377,-1.6496694324030017
322,80,1375,-1.783011427756616
323,80,1359,-0.03156298519007805
324,80,1369,-0.696124760617586
325,80,1370,-0.022787628523822434
326,80,1367,-1.447477950016804
327,80,1363,-0.24054104605639637
328,80,1349,-0.39626457515415225
329,80,1360,-1.6764042201952094
330,80,1365,-0.6577391973723863
331,80,1369,-1.8542814330101614
332,80,1362,-1.5207511632118234
333,80,1353,-1.1342847527430635
334,80,1367,-0.17664617913661118
335,80,1345,0.6614748239619956
336,80,1341,0.21054721380266272
337,80,1351,0.463340212056508
338,80,1359,-0.6459043190270819
339,80,1368,-1.2224709731657377
340,80,1389,0.9536768104090996
341,80,1375,2.195912307590401
342,80,1357,0.43919160423751435
343,80,1355,0.15086952000815756
344,80,1363,4.197124360885201
345,80,1360,2.4506085935108715
346,80,1359,2.2836881801862887
347,80,1359,-2.150905335481113
348,80,1355,-1.2587287219120427
349,80,1325,-0.9902866136111115
350,80,1337,1.0733844244907331
351,80,1372,-0.37307147309802247
352,80,1371,-3.456792158048227
353,80,1354,-0.16677508129096097
354,80,1356,2.9327978178012053
355,80,1353,0.5862219234433397
356,80,1342,0.8936446696276299
357,80,1373,-0.45730666672647047
358,80,1360,-0.8786570653754424
359,80,1351,-0.3332750445239121
360,80,1366,-3.2314028606436196
361,80,1377,0.1028044749652004
362,80,1363,-3.3608004616504985
363,80,1357,2.176129535440463
364,80,1358,3.418645826643889
365,80,1360,2.912521129760517
366,80,1364,3.2935183863883246
367,80,1381,-1.567911480623728
368,80,1358,-0.8468292081372653
369,80,1357,-1.25698917785013
370,80,1367,-0.8698821391608682
371,80,1364,-0.0706116296599788
372,80,1358,0.282457375582581
373,80,1377,0.34710466390361105
374,80,1352,0.7790883618703894
375,80,1356,5.6453442089920784
376,80,1324,-1.5694055806845597
377,80,1367,0.19330558760069394
378,80,1354,0.24033849676221308
379,80,1339,0.6962433839834645
380,80,1352,-2.5499887538286714
381,80,1341,5.326514899596226
382,80,1368,1.5218041256022161
383,80,1371,2.257570719057494
384,80,1368,-0.3743102890968828
385,80,1346,-1.6312410406034488
386,80,1382,1.1914481657920746
387,80,1363,4.149320301977902
388,80,1358,-0.07587907739445754
389,80,1352,-1.2396051760717839
390,80,1362,0.5375718081873444
391,80,1352,-0.9720998515088866
392,80,1353,-2.093975034686924
393,80,1366,-1.4914528329868233
394,80,1368,-2.523467838957572
395,80,1339,0.19024025552135626
396,80,1347,2.1855244915806367
397,80,1361,-1.2267076840381783
398,80,1334,0.45138777445039935
399,80,1355,-1.95418279447372
400,80,1352,3.458890717700271
401,80,1360,0.5878185739002006
402,80,1348,1.3518617021268469
403,80,1373,0.1057636222196976
404,80,1361,1.0836771580082925
405,80,1350,0.18540437646925056
406,80,1364,3.4230083467028116
407,80,1360,1.6326565904538626
408,80,1344,0.8671359042987632
409,80,1370,-1.1230539845980232
410,80,1377,-0.015327836572041065
411,80,1348,-0.15975751368853963
412,80,1355,0.3320309672142123
413,80,1367,1.681452211451088
414,80,1346,1.0972506975260572
415,80,1349,4.53898206725523
416,80,1377,-2.4203258675941655
417,80,1360,3.8858020971702736
418,80,1372,-2.431811339261646
419,80,1387,-0.13697811415336503
420,80,1348,-2.9309046782315136
421,80,1353,5.02030388678147
422,80,1342,1.6471469089874091
423,80,1343,-0.2744312920865184
424,80,1343,0.6160607013513761
425,80,1367,0.8522748850907576
426,80,1346,-1.9093523348609054
427,80,1366,6.766116625006745
428,80,1354,0.4866519586186726
429,80,1374,1.4000170490666797
430,80,1372,-2.8315971987283106
431,80,1355,-1.6021922400193453
432,80,1347,1.0382462353176827
433,80,1370,2.4183643952434934
434,80,1364,1.3207150404638917
435,80,1374,-0.47230845248674314
436,80,1359,-1.0871389235225024
437,80,1333,-2.4698626801894434
438,80,1345,-0.3023685366221862
439,80,1358,1.56241010000279
440,80,1374,1.5638519711896777
441,80,1360,-0.7096784896118216
442,80,1370,-1.6106587415792717
443,80,1370,1.1966176201463767
444,80,1341,-0.5973956183863081
445,80,1378,-0.32180559507688855
446,80,1348,2.052906021399199
447,80,1365,1.418761036480845
448,80,1358,-1.7354978477420566
449,80,1357,1.5854506519414358
450,80,1361,-0.9933499781989426
451,80,1361,-1.4367890653010136
452,80,1365,2.0208790584199576
453,80,1343,0.2075942379128719
454,80,1361,-1.5302746550472328
455,80,1351,1.3588814295702747
456,80,1361,3.5580061707448927
457,80,1343,1.5028270011126352
458,80,1372,-2.341698721105395
